account_id,rating_region,industry,covered_lives_2025,annual_premium_2025,risk_score_2025,risk_band,renewal_month,account_status,prior_renewal_rate,prior_rate_mean,prior_rate_last,paid_claims_2025,process_cv
ACC00030,R30,Manufacturing,457,2554566.15,0.8482,0.50–0.99,1,Active,1.0,6.666666666666667,-5,1510310.44,0.12345194080314836
ACC00031,R12,Professional services,142,1011053.44,0.902,0.50–0.99,4,Active,1.0,1.6666666666666667,5,735663.46,0.2027821670703231
ACC00032,R23,Technology,62,363573.13,1.2764,1.00–1.49,1,Active,1.0,16.666666666666668,15,442751.78,0.2805260492205678
ACC00033,R30,Hospitality,189,1122845.18,2.302,1.50–2.49,8,Active,1.0,0.0,-10,2695361.66,0.16968757635119128
ACC00034,R03,Manufacturing,105,913863.41,0.9024,0.50–0.99,1,Active,1.0,10.0,5,474349.26,0.24604245605590097
ACC00035,R48,Professional services,590,3867223.62,2.1374,1.50–2.49,11,Active,1.0,1.6666666666666667,-10,7212033.0,0.07302193341562982
ACC00036,R47,Retail,334,1844227.39,0.4884,0.15–0.49,8,Active,0.3333333333333333,11.666666666666666,0,647648.45,0.1948380504720342
ACC00037,R44,Professional services,116,617998.32,0.1873,0.15–0.49,3,Active,1.0,6.666666666666667,-5,141447.07,0.2466141414958098
ACC00038,R45,Hospitality,681,3937088.73,0.5035,0.50–0.99,7,Active,1.0,3.3333333333333335,5,2273896.77,0.09411747297128338
ACC00039,R23,Technology,247,1689056.55,0.7757,0.50–0.99,7,Active,1.0,6.666666666666667,0,1004633.81,0.2049329314981366
ACC00040,R30,Healthcare,62,353937.34,1.3911,1.00–1.49,2,Active,0.6666666666666666,8.333333333333334,0,322143.71,0.3165086474381201
ACC00041,R23,Retail,66,420728.97,0.5534,0.50–0.99,10,Active,0.3333333333333333,3.3333333333333335,-5,397125.02,0.29328995114270445
ACC00042,R36,Healthcare,644,3897976.47,0.2553,0.15–0.49,11,Active,0.6666666666666666,1.6666666666666667,10,1348644.66,0.19521771758290554
ACC00043,R33,Financial services,109,801557.23,0.6612,0.50–0.99,5,Active,1.0,8.333333333333334,5,360397.73,0.21261751134626755
ACC00044,R04,Healthcare,437,1948554.74,0.4039,0.15–0.49,10,Active,0.3333333333333333,3.3333333333333335,10,823468.37,0.16467376396638778
ACC00045,R04,Healthcare,149,686915.25,0.3892,0.15–0.49,3,Active,1.0,3.3333333333333335,10,259400.8,0.22968125898926336
ACC00046,R07,Hospitality,178,1232960.48,1.3662,1.00–1.49,4,Active,0.6666666666666666,13.333333333333334,20,1651638.02,0.1952748091683465
ACC00047,R19,Logistics,140,881397.31,0.6886,0.50–0.99,5,Active,0.6666666666666666,5.0,0,547662.36,0.2152549048272081
ACC00048,R27,Technology,293,2388224.27,0.7429,0.50–0.99,7,Active,0.6666666666666666,11.666666666666666,20,694676.52,0.148388838279248
ACC00049,R02,Technology,78,408397.4,0.7692,0.50–0.99,3,Active,0.6666666666666666,13.333333333333334,5,122962.52,0.24014319764518907
ACC00050,R46,Professional services,218,1712565.04,3.982,2.50–5.00,7,Active,1.0,5.0,15,5576656.13,0.11833926240735157
ACC00051,R07,Hospitality,798,5018272.77,0.213,0.15–0.49,7,Active,1.0,15.0,5,1271619.58,0.11158579529317213
ACC00052,R02,Retail,232,1622431.26,0.7641,0.50–0.99,12,Active,0.6666666666666666,6.666666666666667,10,753127.82,0.18703586786689752
ACC00053,R07,Healthcare,266,1663728.56,0.3179,0.15–0.49,12,Active,0.6666666666666666,10.0,10,289841.93,0.1442185232580904
ACC00054,R17,Financial services,232,1673994.22,0.2009,0.15–0.49,1,Active,0.0,15.0,10,378186.0,0.178287154830405
ACC00055,R45,Hospitality,161,1257122.3,0.3151,0.15–0.49,6,Active,0.6666666666666666,3.3333333333333335,15,253925.62,0.1948497366719566
ACC00056,R34,Hospitality,184,1220408.47,2.1702,1.50–2.49,4,Active,1.0,0.0,-10,3013401.71,0.20477154594493974
ACC00057,R36,Financial services,68,635326.63,1.6613,1.50–2.49,7,Active,1.0,0.0,-10,723426.47,0.29811539799266334
ACC00058,R06,Healthcare,470,2053103.06,0.7847,0.50–0.99,11,Active,1.0,1.6666666666666667,5,1862082.76,0.14110442709652396
ACC00059,R33,Logistics,105,759027.87,0.1572,0.15–0.49,2,Active,0.6666666666666666,10.0,0,224194.48,0.39546829351529206
ACC00060,R24,Hospitality,385,3392113.14,1.8152,1.50–2.49,3,Active,0.6666666666666666,10.0,25,5526882.5,0.11430437352160679
ACC00061,R04,Logistics,511,4583446.03,0.568,0.50–0.99,3,Active,1.0,5.0,0,1975945.53,0.13833397719983653
ACC00062,R24,Healthcare,62,342944.4,0.4803,0.15–0.49,6,Active,0.6666666666666666,6.666666666666667,10,91646.01999999999,0.3796582891284878
ACC00063,R04,Professional services,347,2264168.85,0.5976,0.50–0.99,3,Active,0.6666666666666666,8.333333333333334,0,1466059.94,0.1507236040449297
ACC00064,R02,Financial services,196,1087859.01,0.8127,0.50–0.99,3,Active,0.6666666666666666,5.0,10,712364.85,0.21718087198800146
ACC00065,R35,Retail,320,1615734.34,0.5709,0.50–0.99,2,Active,0.6666666666666666,15.0,15,697226.35,0.1213478356020465
ACC00066,R09,Hospitality,206,1201088.19,0.192,0.15–0.49,7,Active,0.6666666666666666,6.666666666666667,25,387336.45,0.176863790755512
ACC00067,R27,Manufacturing,83,565965.23,0.7001,0.50–0.99,11,Active,1.0,11.666666666666666,10,358554.21,0.3368367965999285
ACC00068,R37,Retail,403,2666916.8,0.7087,0.50–0.99,9,Active,1.0,1.6666666666666667,-5,1587528.23,0.15009100041776766
ACC00069,R16,Professional services,117,980469.29,0.5882,0.50–0.99,10,Active,1.0,6.666666666666667,0,464491.95,0.23851021835827071
ACC00070,R15,Manufacturing,275,1895955.39,1.2779,1.00–1.49,2,Active,1.0,1.6666666666666667,10,1730578.26,0.1473751043165347
ACC00071,R37,Retail,657,4369703.84,0.9798,0.50–0.99,5,Active,1.0,10.0,15,2282772.42,0.10695064716278063
ACC00072,R14,Technology,302,2637973.5,0.9869,0.50–0.99,6,Active,1.0,-3.3333333333333335,-10,1010091.76,0.15531486968293712
ACC00073,R12,Hospitality,145,733979.62,0.2185,0.15–0.49,7,Active,0.6666666666666666,6.666666666666667,5,366369.57,0.27496077096751137
ACC00074,R11,Manufacturing,229,1130100.57,0.4682,0.15–0.49,7,Active,1.0,6.666666666666667,10,345701.23,0.162061119791462
ACC00075,R39,Professional services,475,3395207.38,1.2827,1.00–1.49,6,Active,0.6666666666666666,1.6666666666666667,20,3124628.78,0.12861021998704134
ACC00076,R12,Professional services,280,2145784.7,0.7795,0.50–0.99,2,Active,1.0,8.333333333333334,10,807503.42,0.15689307468319533
ACC00077,R17,Manufacturing,124,827756.15,0.6999,0.50–0.99,8,Active,1.0,0.0,5,498040.22,0.3433058496167613
ACC00078,R28,Healthcare,191,1388602.23,0.6622,0.50–0.99,5,Active,1.0,13.333333333333334,15,614951.11,0.18644218319308628
ACC00079,R28,Manufacturing,959,8332654.32,1.2501,1.00–1.49,5,Active,1.0,11.666666666666666,10,6595710.46,0.08178464417725809
ACC00080,R33,Financial services,228,1818447.89,3.9203,2.50–5.00,6,Active,1.0,-6.666666666666667,5,6038656.06,0.12223979902850327
ACC00081,R21,Professional services,115,729172.02,0.5221,0.50–0.99,4,Active,0.6666666666666666,-1.6666666666666667,-10,316103.41,0.2098816304460916
ACC00082,R35,Manufacturing,234,1362646.99,1.3637,1.00–1.49,5,Active,1.0,1.6666666666666667,0,1648841.78,0.13439213229305555
ACC00083,R42,Manufacturing,290,3140784.07,0.7914,0.50–0.99,3,Active,0.6666666666666666,13.333333333333334,20,787538.42,0.1377305081843354
ACC00084,R30,Professional services,678,4996571.31,1.0772,1.00–1.49,4,Active,1.0,8.333333333333334,5,4065746.26,0.09208464782023362
ACC00085,R01,Hospitality,455,3011790.5,0.4284,0.15–0.49,1,Active,1.0,1.6666666666666667,-10,822366.89,0.13587729079114869
ACC00086,R45,Healthcare,169,1023612.37,0.689,0.50–0.99,9,Active,0.6666666666666666,15.0,20,664352.53,0.2201126259018813
ACC00087,R27,Logistics,118,1177213.46,1.4605,1.00–1.49,9,Active,0.6666666666666666,8.333333333333334,0,676842.46,0.24469847553984603
ACC00088,R13,Healthcare,267,1934081.48,2.4163,1.50–2.49,8,Active,1.0,5.0,-5,2848196.65,0.11754231182047246
ACC00089,R19,Professional services,476,3714016.48,0.3667,0.15–0.49,2,Active,0.6666666666666666,8.333333333333334,10,608830.29,0.14411090683975014
ACC00090,R20,Logistics,87,599301.01,1.3256,1.00–1.49,7,Active,1.0,10.0,5,477248.89,0.1616560718532691
ACC00091,R40,Logistics,449,2839327.97,0.6745,0.50–0.99,1,Active,0.6666666666666666,6.666666666666667,-5,1666573.79,0.1359077978300402
ACC00092,R16,Financial services,245,1738332.81,0.8585,0.50–0.99,12,Active,1.0,13.333333333333334,15,756705.04,0.1690070396480502
ACC00093,R07,Financial services,717,4435214.67,1.1236,1.00–1.49,5,Active,1.0,5.0,0,5197069.18,0.08996805201367788
ACC00094,R28,Manufacturing,146,1007144.99,0.6851,0.50–0.99,1,Active,1.0,1.6666666666666667,5,532976.89,0.2282531058326599
ACC00095,R38,Manufacturing,373,1686274.62,0.2523,0.15–0.49,8,Active,0.3333333333333333,6.666666666666667,25,650159.08,0.20277052537955342
ACC00096,R03,Hospitality,176,1260549.6,0.9087,0.50–0.99,6,Active,1.0,3.3333333333333335,5,682124.04,0.158462215390119
ACC00097,R23,Technology,166,1305907.36,0.542,0.50–0.99,2,Active,1.0,-5.0,-15,591590.01,0.19363960496158145
ACC00098,R34,Retail,648,5025451.23,0.5971,0.50–0.99,1,Active,0.6666666666666666,1.6666666666666667,-15,2633141.69,0.10805949543824267
ACC00099,R06,Manufacturing,106,693635.45,0.9621,0.50–0.99,4,Active,0.3333333333333333,21.666666666666668,25,386591.37,0.33469525363667496
ACC00100,R24,Logistics,720,5540016.81,0.541,0.50–0.99,5,Active,1.0,5.0,-5,2430297.17,0.09302919695952197
ACC00101,R33,Healthcare,348,2104519.77,1.3028,1.00–1.49,7,Active,1.0,11.666666666666666,20,2104416.39,0.1097233734496255
ACC00102,R41,Logistics,144,840697.49,1.3049,1.00–1.49,11,Active,1.0,6.666666666666667,5,744725.78,0.1934130762793417
ACC00103,R06,Logistics,138,948971.54,0.4527,0.15–0.49,3,Active,0.6666666666666666,10.0,0,209325.38,0.22115625134266353
ACC00104,R46,Professional services,922,5298850.57,0.962,0.50–0.99,6,Active,1.0,5.0,5,4037335.2399999998,0.10347947228165512
ACC00105,R06,Professional services,220,1613065.48,0.8238,0.50–0.99,9,Active,1.0,18.333333333333332,10,1040499.31,0.1646006886576241
ACC00106,R09,Professional services,349,2084794.92,0.5203,0.50–0.99,7,Active,1.0,6.666666666666667,0,883262.77,0.1190531840320069
ACC00107,R48,Financial services,122,808446.36,1.1186,1.00–1.49,1,Active,0.6666666666666666,0.0,0,675277.51,0.21051005106921003
ACC00108,R38,Professional services,333,2347476.01,2.3581,1.50–2.49,8,Active,1.0,6.666666666666667,5,4430816.26,0.11676943733437471
ACC00109,R05,Manufacturing,735,4697831.97,0.5434,0.50–0.99,7,Active,0.6666666666666666,-3.3333333333333335,0,2249689.94,0.11741295610085305
ACC00110,R35,Manufacturing,133,783622.96,1.3151,1.00–1.49,7,Active,1.0,-8.333333333333334,-5,969558.76,0.23452218292991264
ACC00111,R26,Technology,792,4724008.68,0.8706,0.50–0.99,8,Active,1.0,1.6666666666666667,-5,2358436.55,0.0898014211248042
ACC00112,R24,Logistics,185,1053356.55,0.9322,0.50–0.99,8,Active,0.3333333333333333,8.333333333333334,20,630765.76,0.21969670385205967
ACC00113,R21,Technology,183,1203601.04,0.3947,0.15–0.49,9,Active,0.6666666666666666,13.333333333333334,10,480815.68,0.31192804784199246
ACC00114,R38,Hospitality,243,1329436.29,1.6263,1.50–2.49,5,Active,1.0,18.333333333333332,10,2553054.96,0.12426114126059921
ACC00115,R36,Professional services,62,401955.84,0.617,0.50–0.99,6,Active,1.0,15.0,10,251469.69,0.2920706042925193
ACC00116,R34,Hospitality,64,542212.37,0.7649,0.50–0.99,6,Active,1.0,1.6666666666666667,0,167262.42,0.23773738347304335
ACC00117,R16,Healthcare,189,1236039.86,0.6427,0.50–0.99,11,Active,1.0,-3.3333333333333335,0,702203.2899999999,0.20825318220263428
ACC00118,R37,Healthcare,180,1026528.98,0.5713,0.50–0.99,6,Active,0.3333333333333333,11.666666666666666,10,567036.79,0.1503540205870248
ACC00119,R19,Professional services,82,504223.57,0.754,0.50–0.99,1,Active,1.0,-5.0,0,228699.64,0.24162426693632943
ACC00120,R12,Technology,378,2211127.08,0.6794,0.50–0.99,6,Active,1.0,3.3333333333333335,10,1248492.24,0.13639596997690973
ACC00121,R08,Professional services,149,896747.22,0.5826,0.50–0.99,8,Active,1.0,10.0,5,390867.8,0.17688098826437226
ACC00122,R35,Manufacturing,365,2838641.95,4.1315,2.50–5.00,11,Active,1.0,5.0,15,10069890.55,0.09946658164329586
ACC00123,R04,Professional services,452,2603118.41,0.6338,0.50–0.99,3,Active,0.6666666666666666,15.0,10,2232820.03,0.2302274002082263
ACC00124,R17,Hospitality,1279,7610273.09,1.4326,1.00–1.49,5,Active,1.0,6.666666666666667,-5,9431143.66,0.0762196198730573
ACC00125,R15,Logistics,161,916045.02,1.2647,1.00–1.49,11,Active,0.6666666666666666,6.666666666666667,5,1277185.41,0.1888292630570021
ACC00126,R33,Financial services,323,2436750.58,1.0496,1.00–1.49,4,Active,0.6666666666666666,-6.666666666666667,-10,2152174.38,0.12573938722847888
ACC00127,R02,Financial services,176,1392491.95,1.4154,1.00–1.49,10,Active,1.0,11.666666666666666,-5,1137224.75,0.15212862184660536
ACC00128,R14,Manufacturing,120,1057483.23,3.2104,2.50–5.00,3,Active,1.0,6.666666666666667,-5,2896751.5700000003,0.23778052654834364
ACC00129,R16,Healthcare,698,4322361.94,0.5191,0.50–0.99,12,Active,0.6666666666666666,13.333333333333334,10,2605537.37,0.11266993719046317
ACC00130,R17,Technology,197,1426135.8,0.2725,0.15–0.49,2,Active,0.6666666666666666,6.666666666666667,25,342060.6,0.19012696682134028
ACC00131,R23,Technology,190,1627327.31,0.7844,0.50–0.99,4,Active,0.6666666666666666,5.0,25,1366787.61,0.20692221819195972
ACC00132,R06,Logistics,206,1631123.11,0.7425,0.50–0.99,10,Active,1.0,3.3333333333333335,5,540607.39,0.1685400984089744
ACC00133,R13,Retail,89,573223.95,0.7422,0.50–0.99,11,Active,0.6666666666666666,13.333333333333334,20,555733.72,0.366292277174109
ACC00134,R41,Logistics,438,2492223.08,0.9535,0.50–0.99,1,Active,1.0,11.666666666666666,25,1938040.75,0.12657057834887472
ACC00135,R25,Logistics,508,4243745.63,0.7804,0.50–0.99,8,Active,1.0,3.3333333333333335,15,1743918.09,0.13853502273477927
ACC00136,R15,Healthcare,498,3541873.1,1.0773,1.00–1.49,3,Active,1.0,10.0,5,3517041.11,0.12290307546346901
ACC00137,R45,Healthcare,83,481939.18,0.4652,0.15–0.49,7,Active,0.3333333333333333,10.0,20,107036.43,0.3466122724925541
ACC00138,R15,Hospitality,113,985568.39,0.5621,0.50–0.99,4,Active,1.0,5.0,5,185314.86,0.27467323423931733
ACC00139,R19,Professional services,168,954426.72,0.674,0.50–0.99,9,Active,0.6666666666666666,15.0,20,595678.75,0.18038027392117156
ACC00140,R47,Financial services,250,2314605.28,0.8539,0.50–0.99,3,Active,1.0,-1.6666666666666667,-5,801208.82,0.15322438097576122
ACC00141,R28,Healthcare,338,2691617.71,2.3198,1.50–2.49,2,Active,1.0,6.666666666666667,5,4301073.06,0.11160328568455909
ACC00142,R43,Professional services,457,4074108.47,0.7284,0.50–0.99,5,Active,1.0,-3.3333333333333335,0,1329253.7,0.13289973404726585
ACC00143,R15,Hospitality,62,605093.57,1.7823,1.50–2.49,7,Active,1.0,8.333333333333334,10,821342.83,0.24878911955317706
ACC00144,R35,Professional services,110,762232.78,0.6053,0.50–0.99,12,Active,1.0,3.3333333333333335,0,422660.03,0.217712459629729
ACC00145,R17,Technology,160,998328.23,0.9086,0.50–0.99,11,Active,1.0,1.6666666666666667,-5,575118.68,0.20944280906000562
ACC00146,R24,Retail,547,3651466.89,0.8301,0.50–0.99,6,Active,1.0,6.666666666666667,0,1907559.45,0.1109708316974409
ACC00147,R18,Hospitality,296,1767197.85,0.5955,0.50–0.99,8,Active,1.0,0.0,0,1326026.7,0.20352226916780697
ACC00148,R08,Technology,132,924834.34,1.4302,1.00–1.49,11,Active,0.6666666666666666,3.3333333333333335,15,729527.74,0.23307676545395362
ACC00149,R46,Retail,288,2279382.63,0.1785,0.15–0.49,3,Active,1.0,3.3333333333333335,-5,526238.22,0.1897463937247372
ACC00150,R27,Healthcare,247,1598495.0,0.2133,0.15–0.49,8,Active,0.0,10.0,20,448564.89,0.19286256255005418
ACC00151,R03,Manufacturing,629,3758711.68,1.3149,1.00–1.49,8,Active,1.0,-3.3333333333333335,-10,3809051.57,0.09481543645843712
ACC00152,R14,Manufacturing,216,1409521.69,0.2493,0.15–0.49,2,Active,1.0,10.0,10,296556.83,0.19958880465883672
ACC00153,R26,Financial services,112,558405.94,0.151,0.15–0.49,3,Active,0.6666666666666666,0.0,-5,134444.64,0.2570262013633313
ACC00154,R35,Retail,221,1600717.1,1.4802,1.00–1.49,2,Active,1.0,5.0,0,1373645.48,0.2175892408401119
ACC00155,R30,Manufacturing,250,1368358.16,0.3794,0.15–0.49,10,Active,0.6666666666666666,6.666666666666667,5,392605.25,0.18253742939498002
ACC00156,R32,Logistics,167,936639.4,0.359,0.15–0.49,4,Active,1.0,10.0,20,252277.17,0.19281990536946306
ACC00157,R23,Technology,317,2222083.06,1.2421,1.00–1.49,7,Active,1.0,6.666666666666667,0,1823380.76,0.1195595630870156
ACC00158,R31,Healthcare,331,2040988.73,0.7632,0.50–0.99,1,Active,1.0,1.6666666666666667,0,1105967.19,0.15599851790697483
ACC00159,R39,Professional services,178,1387385.22,0.5196,0.50–0.99,8,Active,0.6666666666666666,-3.3333333333333335,-10,804115.46,0.2672959799859402
ACC00160,R34,Financial services,277,3197976.55,1.343,1.00–1.49,5,Active,0.6666666666666666,13.333333333333334,15,1663945.89,0.19045423572034192
ACC00161,R04,Manufacturing,91,587971.55,0.2751,0.15–0.49,4,Active,0.3333333333333333,10.0,5,120620.49,0.24764139064390361
ACC00162,R23,Manufacturing,192,1978949.11,2.9873,2.50–5.00,1,Active,1.0,6.666666666666667,10,7810216.04,0.2249987652758912
ACC00163,R20,Manufacturing,151,955339.1,1.4604,1.00–1.49,9,Active,1.0,1.6666666666666667,0,1027392.03,0.16474259385568246
ACC00164,R22,Hospitality,419,3464298.76,1.9855,1.50–2.49,12,Active,1.0,16.666666666666668,10,5116477.93,0.09580647083583513
ACC00165,R36,Healthcare,74,673376.55,0.1562,0.15–0.49,6,Active,0.6666666666666666,8.333333333333334,5,83177.17,0.3028626404795836
ACC00166,R05,Technology,72,485256.05,0.9538,0.50–0.99,11,Active,1.0,5.0,10,193581.38,0.26039261330446967
ACC00167,R31,Retail,341,2558949.45,0.736,0.50–0.99,3,Active,0.6666666666666666,3.3333333333333335,5,1360936.95,0.14915445639876868
ACC00168,R05,Professional services,202,1404100.72,1.9088,1.50–2.49,12,Active,1.0,6.666666666666667,-5,2792939.24,0.1521466330539564
ACC00169,R20,Professional services,749,3660945.07,0.9478,0.50–0.99,3,Active,1.0,6.666666666666667,5,2552753.38,0.0832813506706969
ACC00170,R10,Financial services,136,620263.88,0.745,0.50–0.99,10,Active,1.0,6.666666666666667,10,395030.0,0.22427660225977256
ACC00171,R45,Healthcare,175,872799.17,1.3919,1.00–1.49,8,Active,1.0,5.0,0,1113904.48,0.1616160678272599
ACC00172,R08,Financial services,120,753958.54,1.4083,1.00–1.49,12,Active,1.0,11.666666666666666,10,601039.8099999999,0.1795220309337396
ACC00173,R24,Technology,224,1913952.61,1.2063,1.00–1.49,10,Active,1.0,3.3333333333333335,10,2025315.95,0.26923414935038326
ACC00174,R25,Retail,328,2637979.39,1.7909,1.50–2.49,9,Active,1.0,1.6666666666666667,-5,3771959.73,0.2205863667951303
ACC00175,R23,Hospitality,215,1892163.59,1.7088,1.50–2.49,2,Active,1.0,8.333333333333334,5,2253957.39,0.1415246801554526
ACC00176,R40,Manufacturing,376,2494537.56,0.2366,0.15–0.49,6,Active,1.0,3.3333333333333335,5,505248.8,0.15071588484231174
ACC00177,R44,Hospitality,67,398350.7,0.7567,0.50–0.99,3,Active,1.0,-1.6666666666666667,-5,234986.3,0.23464938807471158
ACC00178,R35,Technology,74,572163.11,2.2307,1.50–2.49,2,Active,1.0,15.0,15,938140.12,0.2816890057039416
ACC00179,R43,Retail,62,354847.63,0.3362,0.15–0.49,10,Active,0.6666666666666666,6.666666666666667,25,92737.13,0.3337422580437614
ACC00180,R08,Financial services,284,2046642.4,0.6838,0.50–0.99,4,Active,0.6666666666666666,6.666666666666667,25,750277.63,0.14066570688906485
ACC00181,R28,Professional services,114,770701.7,0.8644,0.50–0.99,6,Active,1.0,3.3333333333333335,5,278295.99,0.19932095221195587
ACC00182,R40,Technology,174,1770522.38,1.8438,1.50–2.49,4,Active,1.0,11.666666666666666,15,3043063.76,0.21602471408483898
ACC00183,R27,Manufacturing,548,3312943.01,0.2,0.15–0.49,4,Active,0.6666666666666666,3.3333333333333335,-5,802980.56,0.11595164923715646
ACC00184,R11,Retail,362,2335885.69,0.768,0.50–0.99,2,Active,1.0,8.333333333333334,0,1292527.31,0.16275324933196628
ACC00185,R42,Financial services,225,1297397.8,0.2354,0.15–0.49,3,Active,0.6666666666666666,6.666666666666667,10,251199.19,0.18859239866386285
ACC00186,R21,Logistics,412,3239742.06,1.3942,1.00–1.49,11,Active,0.6666666666666666,8.333333333333334,20,2450085.73,0.12589667474162863
ACC00187,R05,Healthcare,492,3554325.49,0.6538,0.50–0.99,9,Active,1.0,8.333333333333334,10,1826953.75,0.1616845794055441
ACC00188,R33,Retail,295,1951805.91,0.9014,0.50–0.99,3,Active,0.6666666666666666,6.666666666666667,10,944899.63,0.158618294350412
ACC00189,R03,Manufacturing,897,7470994.14,0.7639,0.50–0.99,12,Active,1.0,6.666666666666667,0,3242033.53,0.0950803438898347
ACC00190,R05,Financial services,234,1389497.43,0.7673,0.50–0.99,10,Active,0.6666666666666666,3.3333333333333335,5,728373.86,0.1653760018198074
ACC00191,R39,Manufacturing,420,2498381.84,0.4446,0.15–0.49,7,Active,1.0,0.0,10,834974.16,0.14334354410270467
ACC00192,R34,Professional services,317,2675718.41,0.6158,0.50–0.99,11,Active,0.6666666666666666,0.0,5,1035068.73,0.13557435033203938
ACC00193,R29,Retail,673,3834328.34,0.3681,0.15–0.49,6,Active,0.3333333333333333,3.3333333333333335,-5,1063956.38,0.10554213263743774
ACC00194,R29,Technology,409,2526535.23,0.8617,0.50–0.99,3,Active,1.0,3.3333333333333335,15,1335741.24,0.11718619876969218
ACC00195,R14,Healthcare,317,1821335.93,0.674,0.50–0.99,3,Active,0.6666666666666666,10.0,0,1252150.2,0.1376462500832868
ACC00196,R47,Healthcare,617,4255094.89,0.9198,0.50–0.99,1,Active,1.0,-1.6666666666666667,-5,2077883.3,0.1054578979015687
ACC00197,R43,Hospitality,200,1556355.77,2.949,2.50–5.00,10,Active,1.0,10.0,10,4507550.95,0.18393409250093676
ACC00198,R31,Professional services,667,3919031.49,1.4112,1.00–1.49,6,Active,1.0,5.0,0,4517001.01,0.12241734217302737
