quote_year,segment_type,segment,rate_band,accounts,renewals,renewal_probability
2023,Industry (stable B1 attribute),Healthcare,10-15%,168,143,0.8511904761904762
2023,Industry (stable B1 attribute),Healthcare,15-20%,135,99,0.7333333333333333
2023,Industry (stable B1 attribute),Healthcare,20%+,141,82,0.5815602836879432
2023,Industry (stable B1 attribute),Hospitality,<-1%,186,167,0.8978494623655914
2023,Industry (stable B1 attribute),Hospitality,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Hospitality,0-5%,172,161,0.936046511627907
2023,Industry (stable B1 attribute),Hospitality,5-10%,164,147,0.8963414634146342
2023,Industry (stable B1 attribute),Hospitality,10-15%,145,127,0.8758620689655172
2023,Industry (stable B1 attribute),Hospitality,15-20%,105,80,0.7619047619047619
2023,Industry (stable B1 attribute),Hospitality,20%+,100,69,0.69
2023,Industry (stable B1 attribute),Logistics,<-1%,176,162,0.9204545454545454
2023,Industry (stable B1 attribute),Logistics,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Logistics,0-5%,158,143,0.9050632911392406
2023,Industry (stable B1 attribute),Logistics,5-10%,189,163,0.8624338624338624
2023,Industry (stable B1 attribute),Logistics,10-15%,171,131,0.7660818713450293
2023,Industry (stable B1 attribute),Logistics,15-20%,115,87,0.7565217391304347
2023,Industry (stable B1 attribute),Logistics,20%+,102,63,0.6176470588235294
2023,Industry (stable B1 attribute),Manufacturing,<-1%,165,148,0.896969696969697
2023,Industry (stable B1 attribute),Manufacturing,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Manufacturing,0-5%,160,144,0.9
2023,Industry (stable B1 attribute),Manufacturing,5-10%,197,161,0.817258883248731
2023,Industry (stable B1 attribute),Manufacturing,10-15%,157,134,0.8535031847133758
2023,Industry (stable B1 attribute),Manufacturing,15-20%,116,91,0.7844827586206896
2023,Industry (stable B1 attribute),Manufacturing,20%+,124,80,0.6451612903225806
2023,Industry (stable B1 attribute),Professional services,<-1%,175,158,0.9028571428571428
2023,Industry (stable B1 attribute),Professional services,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Professional services,0-5%,151,140,0.9271523178807947
2023,Industry (stable B1 attribute),Professional services,5-10%,187,167,0.893048128342246
2023,Industry (stable B1 attribute),Professional services,10-15%,175,143,0.8171428571428572
2023,Industry (stable B1 attribute),Professional services,15-20%,131,104,0.7938931297709924
2023,Industry (stable B1 attribute),Professional services,20%+,111,79,0.7117117117117117
2023,Industry (stable B1 attribute),Retail,<-1%,174,161,0.9252873563218391
2023,Industry (stable B1 attribute),Retail,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Retail,0-5%,133,123,0.924812030075188
2023,Industry (stable B1 attribute),Retail,5-10%,200,169,0.845
2023,Industry (stable B1 attribute),Retail,10-15%,168,135,0.8035714285714286
2023,Industry (stable B1 attribute),Retail,15-20%,145,118,0.8137931034482758
2023,Industry (stable B1 attribute),Retail,20%+,117,76,0.6495726495726496
2023,Industry (stable B1 attribute),Technology,<-1%,159,146,0.9182389937106918
2023,Industry (stable B1 attribute),Technology,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Technology,0-5%,158,145,0.9177215189873418
2023,Industry (stable B1 attribute),Technology,5-10%,201,185,0.9203980099502488
2023,Industry (stable B1 attribute),Technology,10-15%,138,121,0.8768115942028986
2023,Industry (stable B1 attribute),Technology,15-20%,134,94,0.7014925373134329
2023,Industry (stable B1 attribute),Technology,20%+,110,74,0.6727272727272727
2024,Industry (stable B1 attribute),Financial services,<-1%,163,147,0.901840490797546
2024,Industry (stable B1 attribute),Financial services,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Financial services,0-5%,141,133,0.9432624113475178
2024,Industry (stable B1 attribute),Financial services,5-10%,180,154,0.8555555555555555
2024,Industry (stable B1 attribute),Financial services,10-15%,161,132,0.8198757763975155
2024,Industry (stable B1 attribute),Financial services,15-20%,125,91,0.728
2024,Industry (stable B1 attribute),Financial services,20%+,122,83,0.680327868852459
2024,Industry (stable B1 attribute),Healthcare,<-1%,174,160,0.9195402298850575
2024,Industry (stable B1 attribute),Healthcare,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Healthcare,0-5%,169,158,0.9349112426035503
2024,Industry (stable B1 attribute),Healthcare,5-10%,167,147,0.8802395209580839
2024,Industry (stable B1 attribute),Healthcare,10-15%,181,147,0.8121546961325967
2024,Industry (stable B1 attribute),Healthcare,15-20%,126,89,0.7063492063492064
2024,Industry (stable B1 attribute),Healthcare,20%+,122,76,0.6229508196721312
2024,Industry (stable B1 attribute),Hospitality,<-1%,168,155,0.9226190476190477
2024,Industry (stable B1 attribute),Hospitality,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Hospitality,0-5%,149,136,0.912751677852349
2024,Industry (stable B1 attribute),Hospitality,5-10%,170,154,0.9058823529411765
2024,Industry (stable B1 attribute),Hospitality,10-15%,159,132,0.8301886792452831
2024,Industry (stable B1 attribute),Hospitality,15-20%,110,83,0.7545454545454545
2024,Industry (stable B1 attribute),Hospitality,20%+,116,82,0.7068965517241379
2024,Industry (stable B1 attribute),Logistics,<-1%,166,153,0.9216867469879518
2024,Industry (stable B1 attribute),Logistics,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Logistics,0-5%,142,126,0.8873239436619719
2024,Industry (stable B1 attribute),Logistics,5-10%,191,168,0.8795811518324608
2024,Industry (stable B1 attribute),Logistics,10-15%,159,134,0.8427672955974843
2024,Industry (stable B1 attribute),Logistics,15-20%,134,103,0.7686567164179104
2024,Industry (stable B1 attribute),Logistics,20%+,119,75,0.6302521008403361
2024,Industry (stable B1 attribute),Manufacturing,<-1%,158,146,0.9240506329113924
2024,Industry (stable B1 attribute),Manufacturing,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Manufacturing,0-5%,158,146,0.9240506329113924
2024,Industry (stable B1 attribute),Manufacturing,5-10%,211,180,0.8530805687203792
2024,Industry (stable B1 attribute),Manufacturing,10-15%,174,140,0.8045977011494253
2024,Industry (stable B1 attribute),Manufacturing,15-20%,117,98,0.8376068376068376
2024,Industry (stable B1 attribute),Manufacturing,20%+,101,69,0.6831683168316832
2024,Industry (stable B1 attribute),Professional services,<-1%,170,158,0.9294117647058824
2024,Industry (stable B1 attribute),Professional services,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Professional services,0-5%,168,160,0.9523809523809523
2024,Industry (stable B1 attribute),Professional services,5-10%,177,162,0.9152542372881356
2024,Industry (stable B1 attribute),Professional services,10-15%,154,133,0.8636363636363636
2024,Industry (stable B1 attribute),Professional services,15-20%,124,98,0.7903225806451613
2024,Industry (stable B1 attribute),Professional services,20%+,137,90,0.656934306569343
2024,Industry (stable B1 attribute),Retail,<-1%,200,185,0.925
2024,Industry (stable B1 attribute),Retail,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Retail,0-5%,146,132,0.9041095890410958
2024,Industry (stable B1 attribute),Retail,5-10%,187,164,0.8770053475935828
2024,Industry (stable B1 attribute),Retail,10-15%,165,135,0.8181818181818182
2024,Industry (stable B1 attribute),Retail,15-20%,121,94,0.7768595041322314
2024,Industry (stable B1 attribute),Retail,20%+,118,65,0.5508474576271186
2024,Industry (stable B1 attribute),Technology,<-1%,175,157,0.8971428571428571
2024,Industry (stable B1 attribute),Technology,-1 to 0%,0,0,
2024,Industry (stable B1 attribute),Technology,0-5%,148,132,0.8918918918918919
2024,Industry (stable B1 attribute),Technology,5-10%,183,161,0.8797814207650273
2024,Industry (stable B1 attribute),Technology,10-15%,163,139,0.852760736196319
2024,Industry (stable B1 attribute),Technology,15-20%,115,83,0.7217391304347827
2024,Industry (stable B1 attribute),Technology,20%+,116,69,0.5948275862068966
2025,Industry (stable B1 attribute),Financial services,<-1%,187,166,0.8877005347593583
2025,Industry (stable B1 attribute),Financial services,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Financial services,0-5%,129,118,0.9147286821705426
2025,Industry (stable B1 attribute),Financial services,5-10%,184,163,0.8858695652173914
2025,Industry (stable B1 attribute),Financial services,10-15%,170,143,0.8411764705882353
2025,Industry (stable B1 attribute),Financial services,15-20%,103,72,0.6990291262135923
2025,Industry (stable B1 attribute),Financial services,20%+,119,90,0.7563025210084033
2025,Industry (stable B1 attribute),Healthcare,<-1%,174,158,0.9080459770114943
2025,Industry (stable B1 attribute),Healthcare,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Healthcare,0-5%,172,156,0.9069767441860465
2025,Industry (stable B1 attribute),Healthcare,5-10%,183,163,0.8907103825136612
2025,Industry (stable B1 attribute),Healthcare,10-15%,185,144,0.7783783783783784
2025,Industry (stable B1 attribute),Healthcare,15-20%,102,78,0.7647058823529411
2025,Industry (stable B1 attribute),Healthcare,20%+,123,75,0.6097560975609756
2025,Industry (stable B1 attribute),Hospitality,<-1%,164,154,0.9390243902439024
2025,Industry (stable B1 attribute),Hospitality,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Hospitality,0-5%,156,149,0.9551282051282052
2025,Industry (stable B1 attribute),Hospitality,5-10%,183,166,0.907103825136612
2025,Industry (stable B1 attribute),Hospitality,10-15%,134,114,0.8507462686567164
2025,Industry (stable B1 attribute),Hospitality,15-20%,116,92,0.7931034482758621
2025,Industry (stable B1 attribute),Hospitality,20%+,119,73,0.6134453781512605
2025,Industry (stable B1 attribute),Logistics,<-1%,148,134,0.9054054054054054
2025,Industry (stable B1 attribute),Logistics,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Logistics,0-5%,179,165,0.9217877094972067
2025,Industry (stable B1 attribute),Logistics,5-10%,198,172,0.8686868686868687
2025,Industry (stable B1 attribute),Logistics,10-15%,164,136,0.8292682926829268
2025,Industry (stable B1 attribute),Logistics,15-20%,111,83,0.7477477477477478
2025,Industry (stable B1 attribute),Logistics,20%+,111,73,0.6576576576576577
2025,Industry (stable B1 attribute),Manufacturing,<-1%,190,184,0.968421052631579
2025,Industry (stable B1 attribute),Manufacturing,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Manufacturing,0-5%,151,142,0.9403973509933775
2025,Industry (stable B1 attribute),Manufacturing,5-10%,161,141,0.8757763975155279
2025,Industry (stable B1 attribute),Manufacturing,10-15%,187,155,0.8288770053475936
2025,Industry (stable B1 attribute),Manufacturing,15-20%,127,91,0.7165354330708661
2025,Industry (stable B1 attribute),Manufacturing,20%+,103,65,0.6310679611650486
2025,Industry (stable B1 attribute),Professional services,<-1%,174,156,0.896551724137931
2025,Industry (stable B1 attribute),Professional services,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Professional services,0-5%,165,153,0.9272727272727272
2025,Industry (stable B1 attribute),Professional services,5-10%,204,177,0.8676470588235294
2025,Industry (stable B1 attribute),Professional services,10-15%,168,139,0.8273809523809523
2025,Industry (stable B1 attribute),Professional services,15-20%,113,87,0.7699115044247787
2025,Industry (stable B1 attribute),Professional services,20%+,106,63,0.5943396226415094
2025,Industry (stable B1 attribute),Retail,<-1%,179,159,0.888268156424581
2025,Industry (stable B1 attribute),Retail,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Retail,0-5%,155,135,0.8709677419354839
2025,Industry (stable B1 attribute),Retail,5-10%,175,156,0.8914285714285715
2025,Industry (stable B1 attribute),Retail,10-15%,190,153,0.8052631578947368
2025,Industry (stable B1 attribute),Retail,15-20%,115,88,0.7652173913043478
2025,Industry (stable B1 attribute),Retail,20%+,123,79,0.6422764227642277
2025,Industry (stable B1 attribute),Technology,<-1%,179,170,0.9497206703910615
2025,Industry (stable B1 attribute),Technology,-1 to 0%,0,0,
2025,Industry (stable B1 attribute),Technology,0-5%,137,126,0.9197080291970803
2025,Industry (stable B1 attribute),Technology,5-10%,192,164,0.8541666666666666
2025,Industry (stable B1 attribute),Technology,10-15%,151,136,0.9006622516556292
2025,Industry (stable B1 attribute),Technology,15-20%,115,95,0.8260869565217391
2025,Industry (stable B1 attribute),Technology,20%+,126,78,0.6190476190476191
2023,Account size band (stable B1 exposure),<=150,<-1%,385,353,0.9168831168831169
2023,Account size band (stable B1 exposure),<=150,-1 to 0%,0,0,
2023,Account size band (stable B1 exposure),<=150,0-5%,338,306,0.9053254437869822
2023,Account size band (stable B1 exposure),<=150,5-10%,405,343,0.8469135802469135
2023,Account size band (stable B1 exposure),<=150,10-15%,354,305,0.8615819209039548
2023,Account size band (stable B1 exposure),<=150,15-20%,268,210,0.7835820895522388
2023,Account size band (stable B1 exposure),<=150,20%+,249,167,0.6706827309236948
2023,Account size band (stable B1 exposure),151-250,<-1%,396,362,0.9141414141414141
2023,Account size band (stable B1 exposure),151-250,-1 to 0%,0,0,
2023,Account size band (stable B1 exposure),151-250,0-5%,316,300,0.9493670886075949
2023,Account size band (stable B1 exposure),151-250,5-10%,397,355,0.8942065491183879
2023,Account size band (stable B1 exposure),151-250,10-15%,322,252,0.782608695652174
2023,Account size band (stable B1 exposure),151-250,15-20%,265,208,0.7849056603773585
2023,Account size band (stable B1 exposure),151-250,20%+,246,148,0.6016260162601627
2023,Account size band (stable B1 exposure),251-400,<-1%,303,282,0.9306930693069307
2023,Account size band (stable B1 exposure),251-400,-1 to 0%,0,0,
2023,Account size band (stable B1 exposure),251-400,0-5%,320,292,0.9125
2023,Account size band (stable B1 exposure),251-400,5-10%,323,288,0.891640866873065
2023,Account size band (stable B1 exposure),251-400,10-15%,281,239,0.8505338078291815
2023,Account size band (stable B1 exposure),251-400,15-20%,214,158,0.7383177570093458
2023,Account size band (stable B1 exposure),251-400,20%+,226,149,0.6592920353982301
2023,Account size band (stable B1 exposure),401+,<-1%,295,269,0.911864406779661
2023,Account size band (stable B1 exposure),401+,-1 to 0%,0,0,
2023,Account size band (stable B1 exposure),401+,0-5%,266,243,0.9135338345864662
2023,Account size band (stable B1 exposure),401+,5-10%,346,308,0.8901734104046243
2023,Account size band (stable B1 exposure),401+,10-15%,325,268,0.8246153846153846
2023,Account size band (stable B1 exposure),401+,15-20%,246,179,0.7276422764227642
2023,Account size band (stable B1 exposure),401+,20%+,214,135,0.6308411214953271
2024,Account size band (stable B1 exposure),<=150,<-1%,365,340,0.9315068493150684
2024,Account size band (stable B1 exposure),<=150,-1 to 0%,0,0,
2024,Account size band (stable B1 exposure),<=150,0-5%,327,298,0.9113149847094801
2024,Account size band (stable B1 exposure),<=150,5-10%,391,347,0.887468030690537
2024,Account size band (stable B1 exposure),<=150,10-15%,347,287,0.8270893371757925
2024,Account size band (stable B1 exposure),<=150,15-20%,289,228,0.7889273356401384
2024,Account size band (stable B1 exposure),<=150,20%+,280,179,0.6392857142857142
2024,Account size band (stable B1 exposure),151-250,<-1%,354,328,0.9265536723163842
2024,Account size band (stable B1 exposure),151-250,-1 to 0%,0,0,
2024,Account size band (stable B1 exposure),151-250,0-5%,317,289,0.9116719242902208
2024,Account size band (stable B1 exposure),151-250,5-10%,425,374,0.88
2024,Account size band (stable B1 exposure),151-250,10-15%,370,305,0.8243243243243243
2024,Account size band (stable B1 exposure),151-250,15-20%,238,177,0.7436974789915967
2024,Account size band (stable B1 exposure),151-250,20%+,238,154,0.6470588235294118
2024,Account size band (stable B1 exposure),251-400,<-1%,320,292,0.9125
2024,Account size band (stable B1 exposure),251-400,-1 to 0%,0,0,
2024,Account size band (stable B1 exposure),251-400,0-5%,290,270,0.9310344827586207
2024,Account size band (stable B1 exposure),251-400,5-10%,317,274,0.8643533123028391
2024,Account size band (stable B1 exposure),251-400,10-15%,290,244,0.8413793103448276
2024,Account size band (stable B1 exposure),251-400,15-20%,226,173,0.7654867256637168
2024,Account size band (stable B1 exposure),251-400,20%+,224,144,0.6428571428571429
2024,Account size band (stable B1 exposure),401+,<-1%,335,301,0.8985074626865671
2024,Account size band (stable B1 exposure),401+,-1 to 0%,0,0,
2024,Account size band (stable B1 exposure),401+,0-5%,287,266,0.926829268292683
2024,Account size band (stable B1 exposure),401+,5-10%,333,295,0.8858858858858859
2024,Account size band (stable B1 exposure),401+,10-15%,309,256,0.8284789644012945
2024,Account size band (stable B1 exposure),401+,15-20%,219,161,0.7351598173515982
2024,Account size band (stable B1 exposure),401+,20%+,209,132,0.631578947368421
2025,Account size band (stable B1 exposure),<=150,<-1%,382,348,0.9109947643979057
2025,Account size band (stable B1 exposure),<=150,-1 to 0%,0,0,
2025,Account size band (stable B1 exposure),<=150,0-5%,366,336,0.9180327868852459
2025,Account size band (stable B1 exposure),<=150,5-10%,392,345,0.8801020408163265
2025,Account size band (stable B1 exposure),<=150,10-15%,376,310,0.824468085106383
2025,Account size band (stable B1 exposure),<=150,15-20%,231,172,0.7445887445887446
2025,Account size band (stable B1 exposure),<=150,20%+,252,171,0.6785714285714286
2025,Account size band (stable B1 exposure),151-250,<-1%,384,351,0.9140625
2025,Account size band (stable B1 exposure),151-250,-1 to 0%,0,0,
2025,Account size band (stable B1 exposure),151-250,0-5%,318,293,0.9213836477987422
2025,Account size band (stable B1 exposure),151-250,5-10%,406,350,0.8620689655172413
2025,Account size band (stable B1 exposure),151-250,10-15%,364,309,0.8489010989010989
2025,Account size band (stable B1 exposure),151-250,15-20%,237,185,0.7805907172995781
2025,Account size band (stable B1 exposure),151-250,20%+,233,149,0.6394849785407726
2025,Account size band (stable B1 exposure),251-400,<-1%,309,290,0.9385113268608414
2025,Account size band (stable B1 exposure),251-400,-1 to 0%,0,0,
2025,Account size band (stable B1 exposure),251-400,0-5%,288,268,0.9305555555555556
2025,Account size band (stable B1 exposure),251-400,5-10%,328,291,0.8871951219512195
2025,Account size band (stable B1 exposure),251-400,10-15%,285,230,0.8070175438596491
2025,Account size band (stable B1 exposure),251-400,15-20%,231,175,0.7575757575757576
2025,Account size band (stable B1 exposure),251-400,20%+,226,139,0.6150442477876106
2025,Account size band (stable B1 exposure),401+,<-1%,320,292,0.9125
2025,Account size band (stable B1 exposure),401+,-1 to 0%,0,0,
2025,Account size band (stable B1 exposure),401+,0-5%,272,247,0.9080882352941176
2025,Account size band (stable B1 exposure),401+,5-10%,354,316,0.8926553672316384
2025,Account size band (stable B1 exposure),401+,10-15%,324,271,0.8364197530864198
2025,Account size band (stable B1 exposure),401+,15-20%,203,154,0.7586206896551724
2025,Account size band (stable B1 exposure),401+,20%+,219,137,0.6255707762557078
2023,Regional economic tier at quote,Lower unemployment,<-1%,445,410,0.9213483146067416
2023,Regional economic tier at quote,Lower unemployment,-1 to 0%,0,0,
2023,Regional economic tier at quote,Lower unemployment,0-5%,430,391,0.9093023255813953
2023,Regional economic tier at quote,Lower unemployment,5-10%,499,443,0.8877755511022044
2023,Regional economic tier at quote,Lower unemployment,10-15%,425,349,0.8211764705882353
2023,Regional economic tier at quote,Lower unemployment,15-20%,356,275,0.7724719101123596
2023,Regional economic tier at quote,Lower unemployment,20%+,341,222,0.6510263929618768
2023,Regional economic tier at quote,Middle unemployment,<-1%,455,417,0.9164835164835164
2023,Regional economic tier at quote,Middle unemployment,-1 to 0%,0,0,
2023,Regional economic tier at quote,Middle unemployment,0-5%,419,386,0.9212410501193318
2023,Regional economic tier at quote,Middle unemployment,5-10%,488,433,0.8872950819672131
2023,Regional economic tier at quote,Middle unemployment,10-15%,436,372,0.8532110091743119
2023,Regional economic tier at quote,Middle unemployment,15-20%,310,228,0.7354838709677419
2023,Regional economic tier at quote,Middle unemployment,20%+,295,185,0.6271186440677966
2023,Regional economic tier at quote,Higher unemployment,<-1%,479,439,0.9164926931106472
2023,Regional economic tier at quote,Higher unemployment,-1 to 0%,0,0,
2023,Regional economic tier at quote,Higher unemployment,0-5%,391,364,0.9309462915601023
2023,Regional economic tier at quote,Higher unemployment,5-10%,484,418,0.8636363636363636
2023,Regional economic tier at quote,Higher unemployment,10-15%,421,343,0.8147268408551069
