quote_id,account_id,year,offered_rate_change_pct,renewed,premium,risk_score_at_quote,rating_region,industry,covered_lives_2025,annual_premium_2025,risk_score_2025,risk_band,renewal_month,medical_cost_inflation_pct,utilization_trend_pct,unemployment_rate_pct,paid_claims,allowed_claims,claim_count,unique_members,claim_severity,median_claim,p90_claim,max_claim,provider_count,mlr,claims_per_life,paid_per_life,claims_premium_gap,loss_making
Q202300014,ACC00014,2023,15,1,2518642.33,0.8932,R40,Technology,322,2142166.27,0.9063,0.50–0.99,5,6.796,2.021,3.113,,,,,,,,,,,,,,False
Q202300015,ACC00015,2023,15,0,908002.46,0.8489,R38,Technology,137,830757.75,0.8645,0.50–0.99,1,5.278,1.938,2.579,,,,,,,,,,,,,,False
Q202300016,ACC00016,2023,5,1,2989890.02,1.1075,R07,Logistics,498,2988052.42,1.1046,1.00–1.49,12,6.067,1.021,3.434,,,,,,,,,,,,,,False
Q202300017,ACC00017,2023,0,1,3359651.47,0.2265,R21,Hospitality,491,3574921.69,0.2418,0.15–0.49,2,6.288,1.973,3.375,,,,,,,,,,,,,,False
Q202300018,ACC00018,2023,-15,1,1741198.32,0.5333,R26,Manufacturing,330,2130559.54,0.5822,0.50–0.99,11,6.258,1.77,3.47,,,,,,,,,,,,,,False
Q202300019,ACC00019,2023,10,1,3553861.97,3.1228,R12,Professional services,441,3141578.33,3.087,2.50–5.00,7,6.755,1.708,3.622,,,,,,,,,,,,,,False
Q202300020,ACC00020,2023,0,1,2335261.04,0.2103,R18,Manufacturing,371,2363669.21,0.2475,0.15–0.49,7,5.769,1.981,3.24,,,,,,,,,,,,,,False
Q202300021,ACC00021,2023,-10,1,3622128.24,0.6976,R40,Financial services,604,4048724.75,0.7026,0.50–0.99,12,6.796,2.021,3.113,,,,,,,,,,,,,,False
Q202300022,ACC00022,2023,20,0,1312940.13,0.7977,R30,Manufacturing,187,1111677.62,0.7709,0.50–0.99,1,5.696,1.907,2.377,,,,,,,,,,,,,,False
Q202300023,ACC00023,2023,0,1,1605870.51,0.7936,R03,Retail,257,1670725.53,0.8608,0.50–0.99,6,6.801,1.503,3.485,,,,,,,,,,,,,,False
Q202300024,ACC00024,2023,10,1,3279593.43,0.1335,R48,Logistics,421,2971019.59,0.2045,0.15–0.49,3,6.162,1.375,4.062,,,,,,,,,,,,,,False
Q202300025,ACC00025,2023,20,0,2235135.03,3.1129,R32,Financial services,224,1942277.16,3.079,2.50–5.00,2,4.925,2.096,2.825,,,,,,,,,,,,,,False
Q202300026,ACC00026,2023,10,1,2735161.96,4.49,R15,Retail,428,2722264.85,4.4549,2.50–5.00,7,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300027,ACC00027,2023,0,1,898221.79,0.704,R37,Healthcare,157,975853.19,0.7536,0.50–0.99,2,5.577,2.39,2.861,,,,,,,,,,,,,,False
Q202300028,ACC00028,2023,5,1,979440.82,1.9876,R48,Professional services,146,1008505.03,1.9801,1.50–2.49,9,6.162,1.375,4.062,,,,,,,,,,,,,,False
Q202300029,ACC00029,2023,20,0,299646.0,0.3645,R38,Healthcare,62,263354.14,0.438,0.15–0.49,9,5.278,1.938,2.579,,,,,,,,,,,,,,False
Q202300030,ACC00030,2023,25,1,3157623.65,0.8763,R30,Manufacturing,457,2554566.15,0.8482,0.50–0.99,1,5.696,1.907,2.377,,,,,,,,,,,,,,False
Q202300031,ACC00031,2023,-5,1,881986.95,0.9108,R12,Professional services,142,1011053.44,0.902,0.50–0.99,4,6.755,1.708,3.622,,,,,,,,,,,,,,False
Q202300032,ACC00032,2023,25,1,456687.01,1.2616,R23,Technology,62,363573.13,1.2764,1.00–1.49,1,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300033,ACC00033,2023,-5,1,993268.91,2.375,R30,Hospitality,189,1122845.18,2.302,1.50–2.49,8,5.696,1.907,2.377,,,,,,,,,,,,,,False
Q202300034,ACC00034,2023,10,1,1006890.14,0.809,R03,Manufacturing,105,913863.41,0.9024,0.50–0.99,1,6.801,1.503,3.485,,,,,,,,,,,,,,False
Q202300035,ACC00035,2023,10,1,4238444.54,2.1709,R48,Professional services,590,3867223.62,2.1374,1.50–2.49,11,6.162,1.375,4.062,,,,,,,,,,,,,,False
Q202300036,ACC00036,2023,10,1,1923979.5,0.5709,R47,Retail,334,1844227.39,0.4884,0.15–0.49,8,5.224,1.71,4.764,,,,,,,,,,,,,,False
Q202300037,ACC00037,2023,15,1,728763.36,0.2006,R44,Professional services,116,617998.32,0.1873,0.15–0.49,3,4.562,2.596,2.521,,,,,,,,,,,,,,False
Q202300038,ACC00038,2023,5,1,4065356.03,0.5238,R45,Hospitality,681,3937088.73,0.5035,0.50–0.99,7,6.557,2.116,3.778,,,,,,,,,,,,,,False
Q202300039,ACC00039,2023,10,1,1857998.27,0.7458,R23,Technology,247,1689056.55,0.7757,0.50–0.99,7,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300040,ACC00040,2023,20,1,400988.18,1.4003,R30,Healthcare,62,353937.34,1.3911,1.00–1.49,2,5.696,1.907,2.377,,,,,,,,,,,,,,False
Q202300041,ACC00041,2023,0,0,409563.26,0.5253,R23,Retail,66,420728.97,0.5534,0.50–0.99,10,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300042,ACC00042,2023,5,1,4083935.35,0.2104,R36,Healthcare,644,3897976.47,0.2553,0.15–0.49,11,6.539,1.557,2.231,,,,,,,,,,,,,,False
Q202300043,ACC00043,2023,0,1,786171.28,0.6545,R33,Financial services,109,801557.23,0.6612,0.50–0.99,5,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300044,ACC00044,2023,-10,0,1684007.94,0.4005,R04,Healthcare,437,1948554.74,0.4039,0.15–0.49,10,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300045,ACC00045,2023,0,1,669669.26,0.3746,R04,Healthcare,149,686915.25,0.3892,0.15–0.49,3,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300046,ACC00046,2023,10,1,1334581.43,1.4602,R07,Hospitality,178,1232960.48,1.3662,1.00–1.49,4,6.067,1.021,3.434,,,,,,,,,,,,,,False
Q202300047,ACC00047,2023,15,0,1017063.29,0.7011,R19,Logistics,140,881397.31,0.6886,0.50–0.99,5,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300048,ACC00048,2023,5,1,2300477.82,0.8429,R27,Technology,293,2388224.27,0.7429,0.50–0.99,7,5.756,1.129,3.181,,,,,,,,,,,,,,False
Q202300049,ACC00049,2023,20,1,500131.29,0.7297,R02,Technology,78,408397.4,0.7692,0.50–0.99,3,6.372,2.446,2.753,,,,,,,,,,,,,,False
Q202300050,ACC00050,2023,15,1,1948304.62,4.0091,R46,Professional services,218,1712565.04,3.982,2.50–5.00,7,5.818,1.932,3.845,,,,,,,,,,,,,,False
Q202300051,ACC00051,2023,20,1,6122728.95,0.3672,R07,Hospitality,798,5018272.77,0.213,0.15–0.49,7,6.067,1.021,3.434,,,,,,,,,,,,,,False
Q202300052,ACC00052,2023,5,0,1577305.76,0.7132,R02,Retail,232,1622431.26,0.7641,0.50–0.99,12,6.372,2.446,2.753,,,,,,,,,,,,,,False
Q202300053,ACC00053,2023,5,1,1726538.7,0.3023,R07,Healthcare,266,1663728.56,0.3179,0.15–0.49,12,6.067,1.021,3.434,,,,,,,,,,,,,,False
Q202300054,ACC00054,2023,15,0,1946960.76,0.2094,R17,Financial services,232,1673994.22,0.2009,0.15–0.49,1,6.352,0.776,2.956,,,,,,,,,,,,,,False
Q202300055,ACC00055,2023,5,1,1278387.99,0.2577,R45,Hospitality,161,1257122.3,0.3151,0.15–0.49,6,6.557,2.116,3.778,,,,,,,,,,,,,,False
Q202300056,ACC00056,2023,-5,1,1078017.22,2.1414,R34,Hospitality,184,1220408.47,2.1702,1.50–2.49,4,6.024,0.869,3.562,,,,,,,,,,,,,,False
Q202300057,ACC00057,2023,-10,1,576703.87,1.6181,R36,Financial services,68,635326.63,1.6613,1.50–2.49,7,6.539,1.557,2.231,,,,,,,,,,,,,,False
Q202300058,ACC00058,2023,5,1,2038396.14,0.7264,R06,Healthcare,470,2053103.06,0.7847,0.50–0.99,11,5.043,2.543,3.931,,,,,,,,,,,,,,False
Q202300059,ACC00059,2023,15,1,867814.23,0.235,R33,Logistics,105,759027.87,0.1572,0.15–0.49,2,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300060,ACC00060,2023,0,1,3399465.17,1.8024,R24,Hospitality,385,3392113.14,1.8152,1.50–2.49,3,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300061,ACC00061,2023,0,1,4478184.8,0.6503,R04,Logistics,511,4583446.03,0.568,0.50–0.99,3,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300062,ACC00062,2023,0,1,321462.73,0.4511,R24,Healthcare,62,342944.4,0.4803,0.15–0.49,6,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300063,ACC00063,2023,20,0,2737975.09,0.6257,R04,Professional services,347,2264168.85,0.5976,0.50–0.99,3,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300064,ACC00064,2023,-5,1,1021303.13,0.9049,R02,Financial services,196,1087859.01,0.8127,0.50–0.99,3,6.372,2.446,2.753,,,,,,,,,,,,,,False
Q202300065,ACC00065,2023,20,0,1800100.12,0.6109,R35,Retail,320,1615734.34,0.5709,0.50–0.99,2,5.424,1.901,4.92,,,,,,,,,,,,,,False
Q202300066,ACC00066,2023,-15,1,974813.97,0.2797,R09,Hospitality,206,1201088.19,0.192,0.15–0.49,7,5.482,2.321,3.675,,,,,,,,,,,,,,False
Q202300067,ACC00067,2023,15,1,659212.09,0.7163,R27,Manufacturing,83,565965.23,0.7001,0.50–0.99,11,5.756,1.129,3.181,,,,,,,,,,,,,,False
Q202300068,ACC00068,2023,15,1,2969590.26,0.7459,R37,Retail,403,2666916.8,0.7087,0.50–0.99,9,5.577,2.39,2.861,,,,,,,,,,,,,,False
Q202300069,ACC00069,2023,0,1,940287.76,0.5648,R16,Professional services,117,980469.29,0.5882,0.50–0.99,10,5.77,1.945,4.71,,,,,,,,,,,,,,False
Q202300070,ACC00070,2023,-5,1,1743623.08,1.2962,R15,Manufacturing,275,1895955.39,1.2779,1.00–1.49,2,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300071,ACC00071,2023,5,1,4604076.21,0.9451,R37,Retail,657,4369703.84,0.9798,0.50–0.99,5,5.577,2.39,2.861,,,,,,,,,,,,,,False
Q202300072,ACC00072,2023,-5,1,2403564.41,1.0062,R14,Technology,302,2637973.5,0.9869,0.50–0.99,6,6.168,2.655,2.22,,,,,,,,,,,,,,False
Q202300073,ACC00073,2023,-5,0,671556.63,0.1993,R12,Hospitality,145,733979.62,0.2185,0.15–0.49,7,6.755,1.708,3.622,,,,,,,,,,,,,,False
Q202300074,ACC00074,2023,0,1,1069341.36,0.4798,R11,Manufacturing,229,1130100.57,0.4682,0.15–0.49,7,6.086,1.264,3.886,,,,,,,,,,,,,,False
Q202300075,ACC00075,2023,0,1,3169776.32,1.2733,R39,Professional services,475,3395207.38,1.2827,1.00–1.49,6,6.031,1.742,3.346,,,,,,,,,,,,,,False
Q202300076,ACC00076,2023,0,1,2113859.07,0.7709,R12,Professional services,280,2145784.7,0.7795,0.50–0.99,2,6.755,1.708,3.622,,,,,,,,,,,,,,False
Q202300077,ACC00077,2023,0,1,826115.01,0.693,R17,Manufacturing,124,827756.15,0.6999,0.50–0.99,8,6.352,0.776,2.956,,,,,,,,,,,,,,False
Q202300078,ACC00078,2023,20,1,1614162.22,0.6944,R28,Healthcare,191,1388602.23,0.6622,0.50–0.99,5,5.578,2.691,2.547,,,,,,,,,,,,,,False
Q202300079,ACC00079,2023,20,1,9764147.84,1.2273,R28,Manufacturing,959,8332654.32,1.2501,1.00–1.49,5,5.578,2.691,2.547,,,,,,,,,,,,,,False
Q202300080,ACC00080,2023,-10,1,1551519.2,3.9061,R33,Financial services,228,1818447.89,3.9203,2.50–5.00,6,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300081,ACC00081,2023,-5,1,688553.38,0.5061,R21,Professional services,115,729172.02,0.5221,0.50–0.99,4,6.288,1.973,3.375,,,,,,,,,,,,,,False
Q202300082,ACC00082,2023,5,1,1400875.76,1.3629,R35,Manufacturing,234,1362646.99,1.3637,1.00–1.49,5,5.424,1.901,4.92,,,,,,,,,,,,,,False
Q202300083,ACC00083,2023,0,1,2937980.38,0.8044,R42,Manufacturing,290,3140784.07,0.7914,0.50–0.99,3,5.459,2.631,3.842,,,,,,,,,,,,,,False
Q202300084,ACC00084,2023,5,1,5387602.47,1.0904,R30,Professional services,678,4996571.31,1.0772,1.00–1.49,4,5.696,1.907,2.377,,,,,,,,,,,,,,False
Q202300085,ACC00085,2023,15,1,3351750.15,0.3728,R01,Hospitality,455,3011790.5,0.4284,0.15–0.49,1,5.669,1.971,2.571,,,,,,,,,,,,,,False
Q202300086,ACC00086,2023,0,1,1010535.58,0.5881,R45,Healthcare,169,1023612.37,0.689,0.50–0.99,9,6.557,2.116,3.778,,,,,,,,,,,,,,False
Q202300087,ACC00087,2023,5,1,1240719.31,1.4517,R27,Logistics,118,1177213.46,1.4605,1.00–1.49,9,5.756,1.129,3.181,,,,,,,,,,,,,,False
Q202300088,ACC00088,2023,10,1,1975430.59,2.4112,R13,Healthcare,267,1934081.48,2.4163,1.50–2.49,8,6.285,1.878,3.272,,,,,,,,,,,,,,False
Q202300089,ACC00089,2023,-5,1,3462078.86,0.4133,R19,Professional services,476,3714016.48,0.3667,0.15–0.49,2,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300090,ACC00090,2023,15,1,658544.89,1.3236,R20,Logistics,87,599301.01,1.3256,1.00–1.49,7,6.455,1.68,4.003,,,,,,,,,,,,,,False
Q202300091,ACC00091,2023,15,1,3038265.43,0.7203,R40,Logistics,449,2839327.97,0.6745,0.50–0.99,1,6.796,2.021,3.113,,,,,,,,,,,,,,False
Q202300092,ACC00092,2023,15,1,1890274.09,0.835,R16,Financial services,245,1738332.81,0.8585,0.50–0.99,12,5.77,1.945,4.71,,,,,,,,,,,,,,False
Q202300093,ACC00093,2023,20,1,5348692.42,1.1175,R07,Financial services,717,4435214.67,1.1236,1.00–1.49,5,6.067,1.021,3.434,,,,,,,,,,,,,,False
Q202300094,ACC00094,2023,0,1,986602.84,0.6485,R28,Manufacturing,146,1007144.99,0.6851,0.50–0.99,1,5.578,2.691,2.547,,,,,,,,,,,,,,False
Q202300095,ACC00095,2023,0,1,1555719.67,0.2119,R38,Manufacturing,373,1686274.62,0.2523,0.15–0.49,8,5.278,1.938,2.579,,,,,,,,,,,,,,False
Q202300096,ACC00096,2023,5,1,1348226.66,0.9549,R03,Hospitality,176,1260549.6,0.9087,0.50–0.99,6,6.801,1.503,3.485,,,,,,,,,,,,,,False
Q202300097,ACC00097,2023,-5,1,1235427.43,0.5485,R23,Technology,166,1305907.36,0.542,0.50–0.99,2,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300098,ACC00098,2023,15,0,5694780.68,0.646,R34,Retail,648,5025451.23,0.5971,0.50–0.99,1,6.024,0.869,3.562,,,,,,,,,,,,,,False
Q202300099,ACC00099,2023,15,0,750745.45,0.9738,R06,Manufacturing,106,693635.45,0.9621,0.50–0.99,4,5.043,2.543,3.931,,,,,,,,,,,,,,False
Q202300100,ACC00100,2023,10,1,6159152.52,0.5417,R24,Logistics,720,5540016.81,0.541,0.50–0.99,5,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300101,ACC00101,2023,15,1,2253892.94,1.3059,R33,Healthcare,348,2104519.77,1.3028,1.00–1.49,7,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300102,ACC00102,2023,0,1,860227.95,1.3569,R41,Logistics,144,840697.49,1.3049,1.00–1.49,11,5.738,2.89,2.604,,,,,,,,,,,,,,False
Q202300103,ACC00103,2023,20,0,1063325.13,0.5272,R06,Logistics,138,948971.54,0.4527,0.15–0.49,3,5.043,2.543,3.931,,,,,,,,,,,,,,False
Q202300104,ACC00104,2023,10,1,5631153.75,0.9352,R46,Professional services,922,5298850.57,0.962,0.50–0.99,6,5.818,1.932,3.845,,,,,,,,,,,,,,False
Q202300105,ACC00105,2023,25,1,1916123.73,0.8153,R06,Professional services,220,1613065.48,0.8238,0.50–0.99,9,5.043,2.543,3.931,,,,,,,,,,,,,,False
Q202300106,ACC00106,2023,0,1,1897822.73,0.5629,R09,Professional services,349,2084794.92,0.5203,0.50–0.99,7,5.482,2.321,3.675,,,,,,,,,,,,,,False
Q202300107,ACC00107,2023,0,1,824240.36,1.1254,R48,Financial services,122,808446.36,1.1186,1.00–1.49,1,6.162,1.375,4.062,,,,,,,,,,,,,,False
Q202300108,ACC00108,2023,5,1,2287837.91,2.3931,R38,Professional services,333,2347476.01,2.3581,1.50–2.49,8,5.278,1.938,2.579,,,,,,,,,,,,,,False
Q202300109,ACC00109,2023,0,0,4476475.5,0.5867,R05,Manufacturing,735,4697831.97,0.5434,0.50–0.99,7,5.382,2.275,3.796,,,,,,,,,,,,,,False
Q202300110,ACC00110,2023,-15,1,658891.02,1.2682,R35,Manufacturing,133,783622.96,1.3151,1.00–1.49,7,5.424,1.901,4.92,,,,,,,,,,,,,,False
Q202300111,ACC00111,2023,10,1,4995599.35,0.8763,R26,Technology,792,4724008.68,0.8706,0.50–0.99,8,6.258,1.77,3.47,,,,,,,,,,,,,,False
Q202300112,ACC00112,2023,-5,0,966012.56,0.8937,R24,Logistics,185,1053356.55,0.9322,0.50–0.99,8,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300113,ACC00113,2023,10,1,1331051.0,0.4446,R21,Technology,183,1203601.04,0.3947,0.15–0.49,9,6.288,1.973,3.375,,,,,,,,,,,,,,False
Q202300114,ACC00114,2023,20,1,1477580.26,1.6709,R38,Hospitality,243,1329436.29,1.6263,1.50–2.49,5,5.278,1.938,2.579,,,,,,,,,,,,,,False
Q202300115,ACC00115,2023,25,1,488823.82,0.6219,R36,Professional services,62,401955.84,0.617,0.50–0.99,6,6.539,1.557,2.231,,,,,,,,,,,,,,False
Q202300116,ACC00116,2023,10,1,562740.38,0.8507,R34,Hospitality,64,542212.37,0.7649,0.50–0.99,6,6.024,0.869,3.562,,,,,,,,,,,,,,False
Q202300117,ACC00117,2023,0,1,1215500.33,0.6682,R16,Healthcare,189,1236039.86,0.6427,0.50–0.99,11,5.77,1.945,4.71,,,,,,,,,,,,,,False
Q202300118,ACC00118,2023,20,0,1253938.01,0.5816,R37,Healthcare,180,1026528.98,0.5713,0.50–0.99,6,5.577,2.39,2.861,,,,,,,,,,,,,,False
Q202300119,ACC00119,2023,-10,1,464382.62,0.7192,R19,Professional services,82,504223.57,0.754,0.50–0.99,1,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300120,ACC00120,2023,0,1,2170303.07,0.6295,R12,Technology,378,2211127.08,0.6794,0.50–0.99,6,6.755,1.708,3.622,,,,,,,,,,,,,,False
Q202300121,ACC00121,2023,15,1,972236.28,0.5887,R08,Professional services,149,896747.22,0.5826,0.50–0.99,8,5.912,1.592,3.233,,,,,,,,,,,,,,False
Q202300122,ACC00122,2023,5,1,2938460.45,4.1018,R35,Manufacturing,365,2838641.95,4.1315,2.50–5.00,11,5.424,1.901,4.92,,,,,,,,,,,,,,False
Q202300123,ACC00123,2023,20,1,3189562.83,0.5225,R04,Professional services,452,2603118.41,0.6338,0.50–0.99,3,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300124,ACC00124,2023,20,1,8605627.84,1.4437,R17,Hospitality,1279,7610273.09,1.4326,1.00–1.49,5,6.352,0.776,2.956,,,,,,,,,,,,,,False
Q202300125,ACC00125,2023,10,0,1012658.14,1.4289,R15,Logistics,161,916045.02,1.2647,1.00–1.49,11,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300126,ACC00126,2023,0,1,2316735.35,1.0439,R33,Financial services,323,2436750.58,1.0496,1.00–1.49,4,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300127,ACC00127,2023,20,1,1546965.17,1.4451,R02,Financial services,176,1392491.95,1.4154,1.00–1.49,10,6.372,2.446,2.753,,,,,,,,,,,,,,False
Q202300128,ACC00128,2023,10,1,1182224.14,3.2628,R14,Manufacturing,120,1057483.23,3.2104,2.50–5.00,3,6.168,2.655,2.22,,,,,,,,,,,,,,False
Q202300129,ACC00129,2023,15,0,4785825.01,0.4921,R16,Healthcare,698,4322361.94,0.5191,0.50–0.99,12,5.77,1.945,4.71,,,,,,,,,,,,,,False
Q202300130,ACC00130,2023,-5,1,1276561.25,0.3599,R17,Technology,197,1426135.8,0.2725,0.15–0.49,2,6.352,0.776,2.956,,,,,,,,,,,,,,False
Q202300131,ACC00131,2023,-5,1,1518842.2,0.7324,R23,Technology,190,1627327.31,0.7844,0.50–0.99,4,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300132,ACC00132,2023,10,1,1833219.58,0.8073,R06,Logistics,206,1631123.11,0.7425,0.50–0.99,10,5.043,2.543,3.931,,,,,,,,,,,,,,False
Q202300133,ACC00133,2023,5,1,556772.42,0.7699,R13,Retail,89,573223.95,0.7422,0.50–0.99,11,6.285,1.878,3.272,,,,,,,,,,,,,,False
Q202300134,ACC00134,2023,-5,1,2399726.73,1.0072,R41,Logistics,438,2492223.08,0.9535,0.50–0.99,1,5.738,2.89,2.604,,,,,,,,,,,,,,False
Q202300135,ACC00135,2023,5,1,4529040.64,0.8248,R25,Logistics,508,4243745.63,0.7804,0.50–0.99,8,5.785,1.143,4.006,,,,,,,,,,,,,,False
Q202300136,ACC00136,2023,15,1,3757860.22,1.0973,R15,Healthcare,498,3541873.1,1.0773,1.00–1.49,3,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300137,ACC00137,2023,10,1,532349.42,0.5375,R45,Healthcare,83,481939.18,0.4652,0.15–0.49,7,6.557,2.116,3.778,,,,,,,,,,,,,,False
Q202300138,ACC00138,2023,5,1,1017755.38,0.6245,R15,Hospitality,113,985568.39,0.5621,0.50–0.99,4,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300139,ACC00139,2023,10,1,986695.56,0.6214,R19,Professional services,168,954426.72,0.674,0.50–0.99,9,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300140,ACC00140,2023,-10,1,1942200.92,0.8821,R47,Financial services,250,2314605.28,0.8539,0.50–0.99,3,5.224,1.71,4.764,,,,,,,,,,,,,,False
Q202300141,ACC00141,2023,15,1,3184777.29,2.3347,R28,Healthcare,338,2691617.71,2.3198,1.50–2.49,2,5.578,2.691,2.547,,,,,,,,,,,,,,False
Q202300142,ACC00142,2023,-10,1,3398102.45,0.6928,R43,Professional services,457,4074108.47,0.7284,0.50–0.99,5,6.448,2.811,2.638,,,,,,,,,,,,,,False
Q202300143,ACC00143,2023,10,1,608315.81,1.6963,R15,Hospitality,62,605093.57,1.7823,1.50–2.49,7,6.813,1.534,2.978,,,,,,,,,,,,,,False
Q202300144,ACC00144,2023,-5,1,712254.23,0.5858,R35,Professional services,110,762232.78,0.6053,0.50–0.99,12,5.424,1.901,4.92,,,,,,,,,,,,,,False
Q202300145,ACC00145,2023,0,1,922892.43,0.8514,R17,Technology,160,998328.23,0.9086,0.50–0.99,11,6.352,0.776,2.956,,,,,,,,,,,,,,False
Q202300146,ACC00146,2023,15,1,3872343.73,0.8454,R24,Retail,547,3651466.89,0.8301,0.50–0.99,6,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300147,ACC00147,2023,-5,1,1534954.56,0.5564,R18,Hospitality,296,1767197.85,0.5955,0.50–0.99,8,5.769,1.981,3.24,,,,,,,,,,,,,,False
Q202300148,ACC00148,2023,-10,1,782821.73,1.356,R08,Technology,132,924834.34,1.4302,1.00–1.49,11,5.912,1.592,3.233,,,,,,,,,,,,,,False
Q202300149,ACC00149,2023,15,1,2555438.17,0.1605,R46,Retail,288,2279382.63,0.1785,0.15–0.49,3,5.818,1.932,3.845,,,,,,,,,,,,,,False
Q202300150,ACC00150,2023,0,0,1639408.84,0.2363,R27,Healthcare,247,1598495.0,0.2133,0.15–0.49,8,5.756,1.129,3.181,,,,,,,,,,,,,,False
Q202300151,ACC00151,2023,10,1,4255921.8,1.3078,R03,Manufacturing,629,3758711.68,1.3149,1.00–1.49,8,6.801,1.503,3.485,,,,,,,,,,,,,,False
Q202300152,ACC00152,2023,5,1,1490910.92,0.2479,R14,Manufacturing,216,1409521.69,0.2493,0.15–0.49,2,6.168,2.655,2.22,,,,,,,,,,,,,,False
Q202300153,ACC00153,2023,5,0,603719.15,0.0479,R26,Financial services,112,558405.94,0.151,0.15–0.49,3,6.258,1.77,3.47,,,,,,,,,,,,,,False
Q202300154,ACC00154,2023,15,1,1720011.79,1.4376,R35,Retail,221,1600717.1,1.4802,1.00–1.49,2,5.424,1.901,4.92,,,,,,,,,,,,,,False
