account_id,rating_region,industry,renewal_month,covered_lives_2025,annual_premium_2025,latest_risk_score,risk_band,latest_premium,paid_claims,latest_mlr,latest_claim_count,latest_claim_frequency,latest_claim_severity,median_claim,p90_claim,max_claim,claims_premium_gap,loss_making,unemployment_rate_2025,renewed_flag_2023,renewed_flag_2024,renewed_flag_2025,quoted_rate_change_pct_2023,quoted_rate_change_pct_2024,quoted_rate_change_pct_2025,quoted_annual_premium_2023,quoted_annual_premium_2024,quoted_annual_premium_2025,risk_score_at_quote_2023,risk_score_at_quote_2024,risk_score_at_quote_2025,renewal_count_3yr,renewal_rate_3yr,rate_change_mean_3yr,rate_change_slope,risk_score_change,historical_loss_making_indicator,three_year_average_mlr,claims_trend
ACC00016,R07,Logistics,12,498,2988052.42,1.1046,1.00–1.49,2813318.15,3538125.32,1.2576342707631556,469,0.9417670682730924,7543.977228144989,2910.93,20461.338,97457.77,724807.1699999999,True,3.359,1.0,1.0,1.0,5.0,10.0,0.0,2989890.02,3263278.41,2813318.15,1.1075,1.0656,1.1253,3.0,1.0,5.0,-2.5,0.017800000000000038,1,,
ACC00017,R21,Hospitality,2,491,3574921.69,0.2418,0.15–0.49,3714762.82,756884.44,0.20375040794663707,243,0.49490835030549896,3114.750781893004,917.05,7570.530000000004,45233.74,-2957878.38,False,3.693,1.0,1.0,1.0,0.0,0.0,10.0,3359651.47,3490613.34,3714762.82,0.2265,0.1812,0.2395,3.0,1.0,3.3333333333333335,5.0,0.012999999999999984,0,,
ACC00018,R26,Manufacturing,11,330,2130559.54,0.5822,0.50–0.99,1812177.38,1239818.26,0.6841594391824933,252,0.7636363636363637,4919.91373015873,2037.75,10403.58,61033.38,-572359.1199999999,False,3.633,1.0,0.0,1.0,-15.0,10.0,-10.0,1741198.32,2329689.68,1812177.38,0.5333,0.5798,0.6264,2.0,0.6666666666666666,-5.0,2.5,0.09309999999999996,0,,
ACC00019,R12,Professional services,7,441,3141578.33,3.087,2.50–5.00,3162226.16,11582669.55,3.6628213682224424,576,1.3061224489795917,20108.801302083335,6274.645,45848.155,896242.68,8420443.39,True,2.083,1.0,1.0,1.0,10.0,20.0,10.0,3553861.97,3559857.53,3162226.16,3.1228,3.1286,3.0779,3.0,1.0,13.333333333333334,0.0,-0.04489999999999972,1,,
ACC00020,R18,Manufacturing,7,371,2363669.21,0.2475,0.15–0.49,2218673.65,575797.03,0.259523084884521,169,0.4555256064690027,3407.0830177514795,1329.53,8861.186000000002,38930.94,-1642876.6199999999,False,3.535,1.0,1.0,1.0,0.0,5.0,-5.0,2335261.04,2433391.42,2218673.65,0.2103,0.2862,0.1837,3.0,1.0,0.0,-2.5,-0.026599999999999985,0,,
ACC00021,R40,Financial services,12,604,4048724.75,0.7026,0.50–0.99,4266101.83,2221664.67,0.5207715986470018,434,0.7185430463576159,5119.04301843318,1924.7,11549.020999999999,83558.57,-2044437.1600000001,False,3.722,1.0,1.0,1.0,-10.0,-10.0,5.0,3622128.24,3476635.43,4266101.83,0.6976,0.6275,0.7595,3.0,1.0,-5.0,7.5,0.061899999999999955,0,,
ACC00022,R30,Manufacturing,1,187,1111677.62,0.7709,0.50–0.99,1079756.76,595969.85,0.551948246195745,135,0.7219251336898396,4414.591481481481,1585.47,10287.952000000001,58658.87,-483786.91000000003,False,3.218,0.0,0.0,1.0,20.0,10.0,5.0,1312940.13,1251299.34,1079756.76,0.7977,0.7814,0.777,1.0,0.3333333333333333,11.666666666666666,-7.5,-0.02069999999999994,0,,
ACC00023,R03,Retail,6,257,1670725.53,0.8608,0.50–0.99,1591426.28,1174346.69,0.7379208856598748,196,0.7626459143968871,5991.564744897959,1864.475,16027.744999999999,92331.55,-417079.5900000001,False,3.009,1.0,0.0,1.0,0.0,15.0,0.0,1605870.51,1931920.0,1591426.28,0.7936,0.8811,0.8761,2.0,0.6666666666666666,5.0,0.0,0.08250000000000002,0,,
ACC00024,R48,Logistics,3,421,2971019.59,0.2045,0.15–0.49,3392357.55,648520.6,0.19117106332143557,214,0.5083135391923991,3030.4700934579437,1217.05,6477.503000000002,24050.14,-2743836.9499999997,False,3.414,1.0,1.0,0.0,10.0,-10.0,15.0,3279593.43,2726876.95,3392357.55,0.1335,0.2664,0.1489,2.0,0.6666666666666666,5.0,2.5,0.015399999999999997,0,,
ACC00025,R32,Financial services,2,224,1942277.16,3.079,2.50–5.00,2091564.3,4924127.44,2.3542797321602786,304,1.3571428571428572,16197.787631578949,5663.6,37492.35799999999,216246.5,2832563.1400000006,True,2.694,0.0,1.0,1.0,20.0,10.0,10.0,2235135.03,2097953.83,2091564.3,3.1129,3.1066,3.1542,2.0,0.6666666666666666,13.333333333333334,-5.0,0.041300000000000114,1,,
ACC00026,R15,Retail,7,428,2722264.85,4.4549,2.50–5.00,2807965.29,10963670.91,3.9044894710931417,620,1.4485981308411215,17683.340177419355,6480.879999999999,45705.398,386343.14,8155705.62,True,2.489,1.0,1.0,1.0,10.0,-5.0,10.0,2735161.96,2514592.13,2807965.29,4.49,4.4582,4.4272,3.0,1.0,5.0,0.0,-0.06280000000000019,1,,
ACC00027,R37,Healthcare,2,157,975853.19,0.7536,0.50–0.99,849919.55,474782.32,0.5586203070631802,97,0.6178343949044586,4894.663092783505,1562.9,13367.208000000004,96771.04,-375137.23000000004,False,4.946,1.0,1.0,1.0,0.0,5.0,-10.0,898221.79,969775.99,849919.55,0.704,0.796,0.8062,3.0,1.0,-1.6666666666666667,-5.0,0.10220000000000007,0,,
ACC00028,R48,Professional services,9,146,1008505.03,1.9801,1.50–2.49,827107.86,1767662.42,2.137160708399023,154,1.0547945205479452,11478.327402597402,4989.52,30500.294000000005,102526.43,940554.5599999999,True,3.414,1.0,1.0,1.0,5.0,5.0,-10.0,979440.82,1076707.68,827107.86,1.9876,1.9249,1.8934,3.0,1.0,0.0,-7.5,-0.09420000000000006,1,,
ACC00029,R38,Healthcare,9,62,263354.14,0.438,0.15–0.49,288607.99,105151.6,0.36434057144433185,34,0.5483870967741935,3092.694117647059,1672.71,7281.924,26810.39,-183456.38999999998,False,4.048,0.0,1.0,1.0,20.0,0.0,10.0,299646.0,245952.77,288607.99,0.3645,0.4133,0.364,2.0,0.6666666666666666,10.0,-5.0,-0.0005000000000000004,0,,
ACC00030,R30,Manufacturing,1,457,2554566.15,0.8482,0.50–0.99,2467926.58,1510310.44,0.6119754340503921,317,0.6936542669584245,4764.3862460567825,2050.64,11049.542000000018,101086.15,-957616.1400000001,False,3.218,1.0,1.0,1.0,25.0,0.0,-5.0,3157623.65,2438598.2,2467926.58,0.8763,0.7714,0.8781,3.0,1.0,6.666666666666667,-15.0,0.0018000000000000238,0,,
ACC00031,R12,Professional services,4,142,1011053.44,0.902,0.50–0.99,970582.2,735663.46,0.7579610052605539,104,0.7323943661971831,7073.687115384615,2494.74,18563.756000000005,84020.14,-234918.74,False,2.083,1.0,1.0,1.0,-5.0,5.0,5.0,881986.95,1032415.88,970582.2,0.9108,0.8649,0.9003,3.0,1.0,1.6666666666666667,5.0,-0.010500000000000065,0,,
ACC00032,R23,Technology,1,62,363573.13,1.2764,1.00–1.49,402845.31,442751.78,1.0990615231439582,46,0.7419354838709677,9625.038695652174,3047.715,28778.485,81985.07,39906.47000000003,True,3.089,1.0,1.0,1.0,25.0,10.0,15.0,456687.01,384372.94,402845.31,1.2616,1.3195,1.1554,3.0,1.0,16.666666666666668,-5.0,-0.10620000000000007,1,,
ACC00033,R30,Hospitality,8,189,1122845.18,2.302,1.50–2.49,934914.15,2695361.66,2.88300445554279,201,1.0634920634920635,13409.759502487563,3414.51,33002.69,216445.5,1760447.5100000002,True,3.218,1.0,1.0,1.0,-5.0,15.0,-10.0,993268.91,1203778.34,934914.15,2.375,2.3167,2.3137,3.0,1.0,0.0,-2.5,-0.06130000000000013,1,,
ACC00034,R03,Manufacturing,1,105,913863.41,0.9024,0.50–0.99,915640.93,474349.26,0.5180516122187766,82,0.780952380952381,5784.747073170732,2230.96,14702.091000000011,81157.26,-441291.67000000004,False,3.009,1.0,1.0,1.0,10.0,15.0,5.0,1006890.14,1065714.14,915640.93,0.809,0.8867,0.8305,3.0,1.0,10.0,-2.5,0.021499999999999964,0,,
ACC00035,R48,Professional services,11,590,3867223.62,2.1374,1.50–2.49,3462610.29,7212033.0,2.0828312735130234,650,1.1016949152542372,11095.435384615384,4375.1900000000005,30076.75400000001,123832.16,3749422.71,True,3.414,1.0,1.0,1.0,10.0,5.0,-10.0,4238444.54,3825711.05,3462610.29,2.1709,2.1239,2.1523,3.0,1.0,1.6666666666666667,-10.0,-0.018600000000000172,1,,
ACC00036,R47,Retail,8,334,1844227.39,0.4884,0.15–0.49,1747213.64,647648.45,0.37067501945554865,159,0.47604790419161674,4073.260691823899,1348.31,9372.316000000004,74589.81,-1099565.19,False,3.295,1.0,0.0,0.0,10.0,25.0,0.0,1923979.5,2321815.13,1747213.64,0.5709,0.4594,0.519,1.0,0.3333333333333333,11.666666666666666,-5.0,-0.051899999999999946,0,,
ACC00037,R44,Professional services,3,116,617998.32,0.1873,0.15–0.49,535591.69,141447.07,0.26409496756755135,58,0.5,2438.7425862068967,1325.575,4736.549000000003,26273.45,-394144.61999999994,False,3.411,1.0,1.0,1.0,15.0,10.0,-5.0,728763.36,635050.6,535591.69,0.2006,0.2946,0.28,3.0,1.0,6.666666666666667,-10.0,0.07940000000000003,0,,
ACC00038,R45,Hospitality,7,681,3937088.73,0.5035,0.50–0.99,3767944.55,2273896.77,0.6034846691148892,444,0.6519823788546255,5121.389121621622,1886.295,12846.625999999998,81173.54,-1494047.7799999998,False,3.438,1.0,1.0,1.0,5.0,0.0,5.0,4065356.03,4052049.39,3767944.55,0.5238,0.4677,0.483,3.0,1.0,3.3333333333333335,0.0,-0.04080000000000006,0,,
ACC00039,R23,Technology,7,247,1689056.55,0.7757,0.50–0.99,1725082.36,1004633.81,0.5823686064472887,153,0.6194331983805668,6566.234052287582,2057.44,12798.442000000005,105802.4,-720448.55,False,3.089,1.0,1.0,1.0,10.0,10.0,0.0,1857998.27,1759629.14,1725082.36,0.7458,0.7472,0.7432,3.0,1.0,6.666666666666667,-5.0,-0.0026000000000000467,0,,
ACC00040,R30,Healthcare,2,62,353937.34,1.3911,1.00–1.49,350638.8,322143.71,0.9187337796045391,46,0.7419354838709677,7003.124130434783,2094.245,15027.425,66447.14,-28495.089999999967,False,3.218,1.0,0.0,1.0,20.0,5.0,0.0,400988.18,343948.35,350638.8,1.4003,1.4744,1.4663,2.0,0.6666666666666666,8.333333333333334,-10.0,0.06599999999999984,0,,
ACC00041,R23,Retail,10,66,420728.97,0.5534,0.50–0.99,401380.87,397125.02,0.9893969784857959,51,0.7727272727272727,7786.765098039216,1927.34,28976.0,73556.74,-4255.849999999977,False,3.089,0.0,1.0,0.0,0.0,15.0,-5.0,409563.26,452079.19,401380.87,0.5253,0.6022,0.5422,1.0,0.3333333333333333,3.3333333333333335,-2.5,0.016900000000000026,0,,
ACC00042,R36,Healthcare,11,644,3897976.47,0.2553,0.15–0.49,4336248.65,1348644.66,0.31101644966784825,324,0.5031055900621118,4162.483518518518,1216.475,7444.447999999999,194608.79,-2987603.99,False,3.502,1.0,1.0,0.0,5.0,-10.0,10.0,4083935.35,3473964.21,4336248.65,0.2104,0.2299,0.2648,2.0,0.6666666666666666,1.6666666666666667,2.5,0.054399999999999976,0,,
ACC00043,R33,Financial services,5,109,801557.23,0.6612,0.50–0.99,829806.63,360397.73,0.43431531753367647,80,0.7339449541284404,4504.971625,1728.795,11442.655000000006,40180.39,-469408.9,False,4.307,1.0,1.0,1.0,0.0,20.0,5.0,786171.28,965019.94,829806.63,0.6545,0.6673,0.6714,3.0,1.0,8.333333333333334,2.5,0.016900000000000026,0,,
ACC00044,R04,Healthcare,10,437,1948554.74,0.4039,0.15–0.49,2070683.5,823468.37,0.39767949568343014,190,0.43478260869565216,4334.044052631579,1382.8600000000001,11373.186,79218.38,-1247215.13,False,2.271,0.0,1.0,0.0,-10.0,10.0,10.0,1684007.94,1998878.18,2070683.5,0.4005,0.4398,0.3691,1.0,0.3333333333333333,3.3333333333333335,10.0,-0.03140000000000004,0,,
ACC00045,R04,Healthcare,3,149,686915.25,0.3892,0.15–0.49,696487.15,259400.8,0.3724416164749055,78,0.5234899328859061,3325.651282051282,778.5550000000001,9954.911999999998,37944.6,-437086.35000000003,False,2.271,1.0,1.0,1.0,0.0,0.0,10.0,669669.26,661661.85,696487.15,0.3746,0.4095,0.276,3.0,1.0,3.3333333333333335,5.0,-0.09859999999999997,0,,
ACC00046,R07,Hospitality,4,178,1232960.48,1.3662,1.00–1.49,1350883.43,1651638.02,1.222635486764391,167,0.9382022471910112,9890.048023952097,2800.73,22196.69200000001,171024.39,300754.5900000001,True,3.359,1.0,1.0,0.0,10.0,10.0,20.0,1334581.43,1242813.3,1350883.43,1.4602,1.4799,1.2775,2.0,0.6666666666666666,13.333333333333334,5.0,-0.18269999999999986,1,,
ACC00047,R19,Logistics,5,140,881397.31,0.6886,0.50–0.99,866132.08,547662.36,0.6323081348054906,92,0.6571428571428571,5952.851739130435,1780.035,14848.93400000001,76033.99,-318469.72,False,4.492,0.0,1.0,1.0,15.0,0.0,0.0,1017063.29,877868.82,866132.08,0.7011,0.7448,0.7411,2.0,0.6666666666666666,5.0,-7.5,0.040000000000000036,0,,
ACC00048,R27,Technology,7,293,2388224.27,0.7429,0.50–0.99,2626996.58,694676.52,0.264437542587132,183,0.6245733788395904,3796.0465573770493,1334.51,9239.38400000001,57734.79,-1932320.06,False,3.276,1.0,1.0,0.0,5.0,10.0,20.0,2300477.82,2474314.03,2626996.58,0.8429,0.7694,0.6936,2.0,0.6666666666666666,11.666666666666666,7.5,-0.1493,0,,
ACC00049,R02,Technology,3,78,408397.4,0.7692,0.50–0.99,391449.94,122962.52,0.314120676579999,43,0.5512820512820513,2859.593488372093,1538.13,6023.782000000002,17040.97,-268487.42,False,2.78,1.0,0.0,1.0,20.0,15.0,5.0,500131.29,443270.11,391449.94,0.7297,0.8161,0.7182,2.0,0.6666666666666666,13.333333333333334,-7.5,-0.011500000000000066,0,,
ACC00050,R46,Professional services,7,218,1712565.04,3.982,2.50–5.00,1865653.93,5576656.13,2.9891160629131255,292,1.3394495412844036,19098.13743150685,7185.945,47725.61,233238.53,3711002.2,True,4.229,1.0,1.0,1.0,15.0,-15.0,15.0,1948304.62,1371091.24,1865653.93,4.0091,4.0106,3.8903,3.0,1.0,5.0,0.0,-0.11880000000000024,1,,
ACC00051,R07,Hospitality,7,798,5018272.77,0.213,0.15–0.49,4868323.8,1271619.58,0.26120275319402547,411,0.5150375939849624,3093.9649148418493,1079.09,7588.32,73304.55,-3596704.2199999997,False,3.359,1.0,1.0,1.0,20.0,20.0,5.0,6122728.95,5774935.95,4868323.8,0.3672,0.193,0.1709,3.0,1.0,15.0,-7.5,-0.19630000000000003,0,,
ACC00052,R02,Retail,12,232,1622431.26,0.7641,0.50–0.99,1688533.05,753127.82,0.4460249208625202,144,0.6206896551724138,5230.054305555555,2013.0,10925.798000000013,95309.75,-935405.2300000001,False,2.78,0.0,1.0,1.0,5.0,5.0,10.0,1577305.76,1654194.42,1688533.05,0.7132,0.7332,0.7755,2.0,0.6666666666666666,6.666666666666667,2.5,0.06230000000000002,0,,
ACC00053,R07,Healthcare,12,266,1663728.56,0.3179,0.15–0.49,1807937.29,289841.93,0.16031636252162262,130,0.48872180451127817,2229.5533076923075,1304.56,4798.155000000001,20945.78,-1518095.36,False,3.359,1.0,0.0,1.0,5.0,15.0,10.0,1726538.7,1785510.8,1807937.29,0.3023,0.2786,0.3621,2.0,0.6666666666666666,10.0,2.5,0.059799999999999964,0,,
ACC00054,R17,Financial services,1,232,1673994.22,0.2009,0.15–0.49,1727254.01,378186.0,0.2189521621084556,115,0.4956896551724138,3288.573913043478,1134.83,8716.124000000002,29015.15,-1349068.01,False,4.335,0.0,0.0,0.0,15.0,20.0,10.0,1946960.76,1955171.01,1727254.01,0.2094,0.0881,0.1921,0.0,0.0,15.0,-2.5,-0.01730000000000001,0,,
ACC00055,R45,Hospitality,6,161,1257122.3,0.3151,0.15–0.49,1404949.86,253925.62,0.18073642855838284,73,0.453416149068323,3478.4331506849317,1400.01,10880.654,21607.4,-1151024.2400000002,False,3.438,1.0,1.0,0.0,5.0,-10.0,15.0,1278387.99,1037214.97,1404949.86,0.2577,0.2382,0.1964,2.0,0.6666666666666666,3.3333333333333335,5.0,-0.06129999999999999,0,,
ACC00056,R34,Hospitality,4,184,1220408.47,2.1702,1.50–2.49,1014709.88,3013401.71,2.9697175216230276,186,1.0108695652173914,16201.08446236559,3979.085,39445.770000000004,368316.59,1998691.83,True,4.089,1.0,1.0,1.0,-5.0,15.0,-10.0,1078017.22,1355374.87,1014709.88,2.1414,2.1307,2.0626,3.0,1.0,0.0,-2.5,-0.07879999999999976,1,,
ACC00057,R36,Financial services,7,68,635326.63,1.6613,1.50–2.49,567757.97,723426.47,1.2741810916366352,66,0.9705882352941176,10961.00712121212,2791.46,24648.94,166544.3,155668.5,True,3.502,1.0,1.0,1.0,-10.0,20.0,-10.0,576703.87,695699.55,567757.97,1.6181,1.5688,1.6783,3.0,1.0,0.0,0.0,0.06019999999999981,1,,
ACC00058,R06,Healthcare,11,470,2053103.06,0.7847,0.50–0.99,2213131.69,1862082.76,0.8413791047382273,323,0.6872340425531915,5764.962105263158,1816.8,12869.712000000001,157407.8,-351048.92999999993,False,3.972,1.0,1.0,1.0,5.0,-5.0,5.0,2038396.14,1995507.21,2213131.69,0.7264,0.8016,0.8359,3.0,1.0,1.6666666666666667,0.0,0.10949999999999993,0,,
ACC00059,R33,Logistics,2,105,759027.87,0.1572,0.15–0.49,702030.88,224194.48,0.3193513083071218,47,0.44761904761904764,4770.095319148936,1434.67,6074.731999999996,61424.11,-477836.4,False,4.307,1.0,0.0,1.0,15.0,15.0,0.0,867814.23,838212.22,702030.88,0.235,0.1348,0.1293,2.0,0.6666666666666666,10.0,-7.5,-0.10569999999999999,0,,
ACC00060,R24,Hospitality,3,385,3392113.14,1.8152,1.50–2.49,4277616.45,5526882.5,1.2920472334540418,407,1.0571428571428572,13579.563882063881,4437.39,32958.50000000001,398273.06,1249266.0499999998,True,3.647,1.0,1.0,0.0,0.0,5.0,25.0,3399465.17,3358434.01,4277616.45,1.8024,1.815,1.7906,2.0,0.6666666666666666,10.0,12.5,-0.011800000000000033,1,,
ACC00061,R04,Logistics,3,511,4583446.03,0.568,0.50–0.99,4358275.65,1975945.53,0.4533778238648122,341,0.6673189823874756,5794.561671554252,1818.53,12093.82,146088.35,-2382330.12,False,2.271,1.0,1.0,1.0,0.0,15.0,0.0,4478184.8,4926663.19,4358275.65,0.6503,0.6003,0.5747,3.0,1.0,5.0,0.0,-0.0756,0,,
ACC00062,R24,Healthcare,6,62,342944.4,0.4803,0.15–0.49,378575.33,91646.01999999999,0.24208133160710707,22,0.3548387096774194,4165.728181818181,1172.2849999999999,11695.798000000003,25791.07,-286929.31000000006,False,3.647,1.0,1.0,0.0,0.0,10.0,10.0,321462.73,378660.39,378575.33,0.4511,0.4612,0.4851,2.0,0.6666666666666666,6.666666666666667,5.0,0.033999999999999975,0,,
ACC00063,R04,Professional services,3,347,2264168.85,0.5976,0.50–0.99,2110410.03,1466059.94,0.6946801423228642,257,0.7406340057636888,5704.513385214008,1860.91,13095.226,149208.23,-644350.0899999999,False,2.271,0.0,1.0,1.0,20.0,5.0,0.0,2737975.09,2432766.9,2110410.03,0.6257,0.5293,0.6175,2.0,0.6666666666666666,8.333333333333334,-10.0,-0.008199999999999985,0,,
ACC00064,R02,Financial services,3,196,1087859.01,0.8127,0.50–0.99,1230527.61,712364.85,0.5789100904448621,122,0.6224489795918368,5839.056147540983,1832.8200000000002,12322.053000000002,102424.47,-518162.7600000001,False,2.78,1.0,0.0,1.0,-5.0,10.0,10.0,1021303.13,1220946.98,1230527.61,0.9049,0.8235,0.7834,2.0,0.6666666666666666,5.0,7.5,-0.12150000000000005,0,,
ACC00065,R35,Retail,2,320,1615734.34,0.5709,0.50–0.99,1885543.47,697226.35,0.36977474192095927,202,0.63125,3451.615594059406,1489.275,9595.738,29369.45,-1188317.12,False,3.086,0.0,1.0,1.0,20.0,10.0,15.0,1800100.12,1810786.47,1885543.47,0.6109,0.6253,0.5107,2.0,0.6666666666666666,15.0,-2.5,-0.10019999999999996,0,,
ACC00066,R09,Hospitality,7,206,1201088.19,0.192,0.15–0.49,1412858.3,387336.45,0.2741509534254072,99,0.48058252427184467,3912.489393939394,1407.52,11606.838000000003,27573.54,-1025521.8500000001,False,3.67,1.0,1.0,0.0,-15.0,10.0,25.0,974813.97,1341218.8,1412858.3,0.2797,0.098,0.081,2.0,0.6666666666666666,6.666666666666667,20.0,-0.1987,0,,
ACC00067,R27,Manufacturing,11,83,565965.23,0.7001,0.50–0.99,584375.12,358554.21,0.6135685756094477,60,0.7228915662650602,5975.9035,1063.915,10690.043000000005,97091.98,-225820.90999999997,False,3.276,1.0,1.0,1.0,15.0,10.0,10.0,659212.09,625197.06,584375.12,0.7163,0.6864,0.6599,3.0,1.0,11.666666666666666,-2.5,-0.056400000000000006,0,,
